"LPI_final" "CI_low" "CI_high"
"1970" 1 1 1
"1971" 1.01566708278628 1.00606239626764 1.02571179160369
"1972" 1.03327549792925 1.01987470076319 1.04722406950512
"1973" 1.04874929022587 1.0324061970057 1.06531692323699
"1974" 1.06152115318209 1.0428995305482 1.08041646533472
"1975" 1.07494322321216 1.05386633184484 1.09631656657297
"1976" 1.08447117101541 1.06179089169682 1.1080257199326
"1977" 1.09254347312733 1.06743621781993 1.11883920668694
"1978" 1.10183697344883 1.07490905158475 1.1302475587713
"1979" 1.11471103242718 1.08624358067156 1.14490443277792
"1980" 1.13040129637979 1.10069124204828 1.16219354322656
"1981" 1.14627835105435 1.1146908511029 1.17958587845489
"1982" 1.15723160510524 1.1239341045277 1.19192967968277
"1983" 1.16971633576448 1.13489555352868 1.20632887811143
"1984" 1.18518771130925 1.14853669485282 1.2230624057545
"1985" 1.20229775460262 1.16436232950153 1.24167954712269
"1986" 1.21906446163332 1.17989786755205 1.25940486054555
"1987" 1.22991385620205 1.18997666005911 1.27119225983648
"1988" 1.23912071425265 1.19808625430012 1.28183275845042
"1989" 1.24837500773505 1.2058962601562 1.2926321341005
"1990" 1.26088949438159 1.21739787533758 1.30656080850525
"1991" 1.2720663492218 1.22668703257766 1.31895930457365
"1992" 1.28441700275261 1.23801538279407 1.33249697300343
"1993" 1.30715984056618 1.25918313037485 1.35883546402302
"1994" 1.33713075896356 1.28552682712431 1.39301690038544
"1995" 1.35489439659444 1.30027713978049 1.41297873873698
"1996" 1.37552549275321 1.3187675038112 1.43615768162565
"1997" 1.38834368166255 1.32909127767668 1.45085518347548
"1998" 1.39183879569831 1.33087427621879 1.4559512329585
"1999" 1.39378626834029 1.33229721190884 1.45928083947889
"2000" 1.40123079332892 1.33805194206964 1.46847787979936
"2001" 1.41313533796819 1.34749642375177 1.48284898191074
"2002" 1.4262828809743 1.35954446312312 1.4980530450274
"2003" 1.43871795611666 1.37106772055765 1.51168439899035
"2004" 1.45216475265214 1.38316888623723 1.52807648436368
"2005" 1.4767115916121 1.40519807242261 1.55471309003169
"2006" 1.50057455584162 1.42724329394967 1.58029112959985
"2007" 1.52655606055228 1.45040971125747 1.60825699454737
"2008" 1.54663261392454 1.46923263670353 1.62982165871285
"2009" 1.56384859620229 1.48503790458725 1.64918802246574
"2010" 1.58455070159447 1.50393774175729 1.67242805228854
"2011" 1.60942358686548 1.5271706207702 1.69925657343744
"2012" 1.63350675963671 1.54866854088354 1.72555339495852
"2013" 1.65937607176336 1.57231590245952 1.75350308438598
"2014" 1.68800245911592 1.59903491379725 1.78513558160027
"2015" 1.71910367249868 1.62822613046889 1.81720685197342
"2016" 1.74303073247283 1.64990453399401 1.84462815046747
"2017" 1.7507973393211 1.6569269593033 1.85343915922953
"2018" 1.75647432996365 1.66056410395318 1.85947541270707
"2019" 1.77768946884112 1.67960783647912 1.88325307601352
"2020" 1.80750271816824 1.70812373293883 1.914664859216
"2021" 1.84221766593656 1.74008878293601 1.95263587587997
"2022" 1.8850332259576 1.77824993589734 2.00018473642281
"2023" 1.8850332259576 1.77824993589734 2.00018473642281
