"","CI_high","CI_low","LPI_final","n_points"
"1970",1,1,1,2
"1971",1.02122411168435,1.00305227467993,1.01194940409031,2
"1972",1.03796552428943,1.00383929872712,1.02037679493792,2
"1973",1.04994230237163,1.00125364960971,1.0248557007782,2
"1974",1.05502262760909,0.994827341473635,1.02386817050525,2
"1975",1.06134504298507,0.991140869700137,1.02498264106968,2
"1976",1.06221909820888,0.985339795340671,1.02230297115045,2
"1977",1.06109954256703,0.97712639247173,1.01790898793044,2
"1978",1.06477504583596,0.974806696240549,1.01871948808314,2
"1979",1.07258985953164,0.97869337160147,1.0249564480487,2
"1980",1.08453230743958,0.98662572569522,1.03488456730435,2
"1981",1.09532003390756,0.99341102247907,1.04343691888347,2
"1982",1.09914309606079,0.991127548667464,1.04390818772366,2
"1983",1.10696800121902,0.991447744577262,1.04735824015539,2
"1984",1.11636103914021,0.995243266134388,1.0536794248115,2
"1985",1.12710034537667,1.00033617463326,1.06153069042253,2
"1986",1.13548767927563,1.00417803438931,1.06761523265738,2
"1987",1.13846445059619,1.00486796494321,1.0693038092863,2
"1988",1.14323464938826,1.00690090714601,1.07277585374677,2
"1989",1.14708214678481,1.00694031446482,1.07493044100248,2
"1990",1.15462898453778,1.00901474679741,1.07963381959768,2
"1991",1.15364483341527,1.00266837272481,1.07571781373147,2
"1992",1.15080887778566,0.996236672327783,1.07095837695057,2
"1993",1.1593799279505,0.998281732363093,1.07604958243889,2
"1994",1.17387100978085,1.0060248094123,1.08726800409424,2
"1995",1.18162910981051,1.00849471135907,1.09204448505614,2
"1996",1.18926032920473,1.01230531619708,1.09742975820212,2
"1997",1.19344354697562,1.01340749563894,1.09942697142932,2
"1998",1.1829325856575,1.00072148325328,1.08818167174294,2
"1999",1.17246380263977,0.987704878567524,1.07646310769764,2
"2000",1.16605273573886,0.977733144513006,1.06813108377264,2
"2001",1.16102783226609,0.969183629866661,1.06150791947645,2
"2002",1.1544982803992,0.960419848867628,1.05391200538734,2
"2003",1.15398204805305,0.955270485341393,1.05000641105213,2
"2004",1.15377773795888,0.952264415924762,1.0479599106287,2
"2005",1.16171606688136,0.956875647902321,1.05458187038531,2
"2006",1.16820806341337,0.958742408612755,1.05916035729957,2
"2007",1.17260972204038,0.959449146947688,1.06233110997165,2
"2008",1.16465449122206,0.950112962671964,1.05372676948754,2
"2009",1.16019662312749,0.944129826928645,1.04838310389561,2
"2010",1.15713770163375,0.937053473627161,1.04258032350316,2
"2011",1.1544091905587,0.931889400537976,1.03874842875544,2
"2012",1.15318745426217,0.928259351591973,1.03544194168379,2
"2013",1.15625821715842,0.928319917321277,1.03710059987131,2
"2014",1.16206622396375,0.930229979418987,1.04123567903928,2
"2015",1.17016953367672,0.933212436191081,1.0467533851247,2
"2016",1.17546782331144,0.936089250853092,1.05114263099134,2
"2017",1.1693744057658,0.928902112410991,1.04363407200924,2
"2018",1.16496922333307,0.924372710817322,1.03900328855649,2
"2019",1.16948019496876,0.926512903034633,1.04195126072815,2
"2020",1.17768841341744,0.930653807869137,1.04805001281916,2
"2021",1.18597824504636,0.933514299471343,1.05311841475978,2
"2022",1.19157091408219,0.931999394156447,1.05404263720066,2
"19701",1,1,1,3
"19711",1.02098558289463,1.002815249219,1.01172559380668,3
"19721",1.03750623188992,1.00369847885698,1.02015112078963,3
"19731",1.04875950137523,1.00040134878722,1.02381969372882,3
"19741",1.05395878293141,0.993614183582407,1.02283316173136,3
"19751",1.05997639449044,0.989653801121864,1.02394650569878,3
