"year","CI_high","CI_low","LPI_final","n_points"
"1970",1,1,1,2
"1971",1.01887303024579,1.00082092712707,1.00984603568397,2
"1972",1.03307216716112,0.999260311417587,1.01595925828784,2
"1973",1.04313506652444,0.995345190119912,1.01866791512495,2
"1974",1.04665730957105,0.98705333290922,1.01600278772557,2
"1975",1.0519674829474,0.982083037658456,1.01595629705148,2
"1976",1.05171447137314,0.974791305888019,1.01248189828668,2
"1977",1.05033951308611,0.966487329688783,1.00783637698346,2
"1978",1.05358997924905,0.964590383784778,1.00812535792135,2
"1979",1.06079415346184,0.967922847752548,1.01352453672771,2
"1980",1.07161558231915,0.974466088033962,1.02206900641236,2
"1981",1.08115220713441,0.980007832541807,1.02895573352882,2
"1982",1.0820429864489,0.976401490255369,1.02746290006496,2
"1983",1.08647924275493,0.975224941113304,1.02878028459767,2
"1984",1.09311490380516,0.976066679085938,1.03239969079533,2
"1985",1.09970644884241,0.978517963390671,1.03681460610146,2
"1986",1.10415169766771,0.979157632127155,1.03942208867124,2
"1987",1.1030634594188,0.976348280773475,1.03790880237933,2
"1988",1.1047438401472,0.976898551251803,1.03855338874198,2
"1989",1.10649413752254,0.975758915736687,1.03845831598105,2
"1990",1.11075233374608,0.976642458638583,1.04098986653154,2
"1991",1.10863977879004,0.969428917586833,1.03605919115341,2
"1992",1.10589400187051,0.961204445222088,1.03047517722338,2
"1993",1.11138111362592,0.961653025405023,1.03318833824241,2
"1994",1.12423681312926,0.966260921084259,1.04146016528501,2
"1995",1.12822268774865,0.966348158085095,1.04339017730881,2
"1996",1.13227447734742,0.9670759610253,1.04572004967979,2
"1997",1.13346863157142,0.965817638499529,1.04525696402671,2
"1998",1.12409137182361,0.953503738759551,1.0343555052251,2
"1999",1.11258287434959,0.941375589900375,1.0229395968014,2
"2000",1.10201857150354,0.930129304060998,1.01195713572981,2
"2001",1.09857264626874,0.924633760468975,1.00808088592929,2
"2002",1.09467158459897,0.918591316559516,1.00345045433544,2
"2003",1.09359790054883,0.914190547216205,1.00065612841595,2
"2004",1.0953183237275,0.912399369651879,0.999598250832226,2
"2005",1.10053779591429,0.914815979297689,1.00322408673684,2
"2006",1.10297047959844,0.914587220863872,1.00432578351198,2
"2007",1.10304297107915,0.912146404725165,1.00337195311871,2
"2008",1.09455047550602,0.90285079034093,0.994006340716018,2
"2009",1.08607443575042,0.893489047948071,0.984745377243805,2
"2010",1.07726870341351,0.882778707643545,0.975054324516652,2
"2011",1.06899319232181,0.873633057728396,0.966473494967816,2
"2012",1.06006138675161,0.864420219855415,0.957256439497803,2
"2013",1.0587368620068,0.86060840104278,0.954335087504095,2
"2014",1.05902814102594,0.858470360384836,0.953511821164743,2
"2015",1.06285992498545,0.859316387015604,0.955698110674532,2
"2016",1.06655330521421,0.859920898908914,0.958174336712574,2
"2017",1.06072022074818,0.852315426727722,0.95052681831017,2
"2018",1.05409797497948,0.844943037729539,0.94319534875786,2
"2019",1.05324032537061,0.84161685244457,0.941283593013478,2
"2020",1.05491283947483,0.840044952726197,0.941034094251067,2
"2021",1.05480719243453,0.837278663537967,0.939981266706902,2
"2022",1.05283830836439,0.829756683598512,0.934084552453413,2
"1970",1,1,1,3
"1971",1.01875793746404,1.00057364756336,1.00961223826469,3
"1972",1.0326373918908,0.999122908823137,1.01572404554819,3
"1973",1.04200287133622,0.99415023055508,1.01760835697815,3
"1974",1.04566391147478,0.985480019246697,1.01494600168675,3
"1975",1.05025938772631,0.980404408316815,1.0148995593695,3
"1976",1.05134410270717,0.975032699689466,1.01249071910959,3
"1977",1.05144154529122,0.967964226203531,1.00881879063371,3
"1978",1.05438699960854,0.965477222405076,1.00910805326297,3
"1979",1.06099767418033,0.969406151060607,1.01451249505356,3
"1980",1.0717513923471,0.976200758076436,1.02306529367319,3
"1981",1.08052017319457,0.981242248175947,1.0299587337987,3
"1982",1.08323199944891,0.979244187441549,1.02995255002826,3
"1983",1.08793911583429,0.978320827838543,1.03127312672134,3
"1984",1.09493987786025,0.980019806220465,1.03556741630916,3
"1985",1.10326193557019,0.984191614139595,1.04172679294713,3
"1986",1.10805438131453,0.985551324550157,1.04434662916384,3
"1987",1.10749349226873,0.982362309515939,1.04282889208149,3
"1988",1.10920193824685,0.982321879240491,1.04348048129417,3
"1989",1.11127171823381,0.980059600649152,1.04338495749019,3
"1990",1.11402453578371,0.979103468931674,1.04377995492244,3
"1991",1.11175505016368,0.972270372240354,1.03922132365328,3
"1992",1.10801770818675,0.964294449859587,1.03362026688237,3
"1993",1.11422694782055,0.963904988929802,1.03634170867794,3
"1994",1.12704512316963,0.96830616405712,1.04463878197417,3
"1995",1.13076024431806,0.968112469510497,1.04639471446423,3
"1996",1.13825250633932,0.972398452542859,1.05179312549582,3
"1997",1.14010103487195,0.970522949555697,1.0516099043069,3
"1998",1.13163889484213,0.960642942532514,1.042410255936,3
"1999",1.12166403038103,0.94858260246077,1.0309160623014,3
"2000",1.11063730197284,0.937548182258514,1.01968085107749,3
"2001",1.10718393456289,0.93194824462786,1.01549112998094,3
"2002",1.10406515812463,0.924839316119444,1.01082666081267,3
"2003",1.10353781235447,0.921076315483752,1.0089014001292,3
"2004",1.10839321946684,0.922768198083552,1.01167528956896,3
"2005",1.11427012389249,0.92545781068395,1.01615889488683,3
