"year","CI_high","CI_low","LPI_final","n_points"
"1970",1,1,1,2
"1971",1.01555053462201,0.998119992348295,1.00688030736672,2
"1972",1.02659503127284,0.99467882040245,1.01056030444968,2
"1973",1.03285203774903,0.98799619858589,1.01002534231512,2
"1974",1.03356638851053,0.977864587176027,1.00493368780515,2
"1975",1.03519880923979,0.971817180220433,1.00232867978548,2
"1976",1.03338744214624,0.964051121255864,0.997605015897805,2
"1977",1.0318051882316,0.955941541715105,0.992432817573496,2
"1978",1.03320549313359,0.952845259652482,0.991753263863119,2
"1979",1.03742097676481,0.953746468697925,0.994175716051097,2
"1980",1.04481932053087,0.9568142353426,0.999186587827306,2
"1981",1.05076965497327,0.958553727974321,1.00283011577387,2
"1982",1.04983418237569,0.952511580517169,0.999016164922693,2
"1983",1.05028581290001,0.947162363956078,0.996432740079215,2
"1984",1.05196661958344,0.943850279853637,0.995622938275623,2
"1985",1.05263382396394,0.940625687417683,0.994246213547873,2
"1986",1.05053155323231,0.935368585280768,0.990784526263514,2
"1987",1.04559566972564,0.928689265250492,0.984760059795025,2
"1988",1.04265941202032,0.92398730297278,0.981049460664448,2
"1989",1.03966714172676,0.918228229628357,0.976620062645924,2
"1990",1.03956018976891,0.914519717795697,0.974796811522679,2
"1991",1.03563028921016,0.906647138430427,0.969045720615377,2
"1992",1.03192710270634,0.899976336240249,0.963645326124475,2
"1993",1.0356148263814,0.899652282130193,0.965074891935787,2
"1994",1.04415158442094,0.903660376477983,0.970833873853475,2
"1995",1.04706204672965,0.903421458063452,0.972281306202303,2
"1996",1.0494516953872,0.902512842142307,0.973276787153687,2
"1997",1.04904893644269,0.900678682250047,0.971600560623247,2
"1998",1.03912642165699,0.88994966344652,0.961473069658719,2
"1999",1.02945336305622,0.879805146453049,0.951170346563496,2
"2000",1.02113083276032,0.870501881180778,0.941884452396463,2
"2001",1.01835922322951,0.865290397143988,0.938440056147149,2
"2002",1.01913477646451,0.861098373086721,0.935761353356726,2
"2003",1.01909543647347,0.856813253865292,0.933598595204061,2
"2004",1.01681356496483,0.852828465546776,0.930501361533347,2
"2005",1.01846351312023,0.851515548413722,0.930269661530155,2
"2006",1.01866969399009,0.849317984054143,0.928985340801784,2
"2007",1.01679655097133,0.846197709333807,0.926466067363913,2
"2008",1.00959220750665,0.838065845509869,0.918347687810648,2
"2009",1.00296257172114,0.8310634945515,0.911428105161596,2
"2010",0.996138294863148,0.822256509020281,0.903484171784681,2
"2011",0.990330464116521,0.81568078266396,0.897311032074655,2
"2012",0.980067922459611,0.804508443578981,0.886473616668422,2
"2013",0.971038633183643,0.793949791293595,0.876294887992264,2
"2014",0.965617817067614,0.786763726210799,0.869648563479739,2
"2015",0.966010330021169,0.784650599056401,0.868674329926025,2
"2016",0.968008451062382,0.783647187191085,0.869118398050926,2
"2017",0.962843845258088,0.77723427819181,0.862827541326376,2
"2018",0.956624149825708,0.771011028046376,0.856371773023565,2
"2019",0.957094311068399,0.769521291241683,0.855738018787849,2
"2020",0.959988161643368,0.769882679679018,0.857205190022619,2
"2021",0.962398625947726,0.768921838156406,0.858223266220558,2
"2022",0.958599094866117,0.762434349926866,0.852817728453045,2
"1970",1,1,1,3
"1971",1.01564380297842,0.998132693264635,1.00676263492839,3
"1972",1.02711185218935,0.995044533763592,1.01054635348568,3
"1973",1.03312303091571,0.987581371713928,1.00966606951891,3
"1974",1.03431880292629,0.97759755778014,1.00471709547766,3
"1975",1.03634127397472,0.970805679736564,1.0022807107562,3
"1976",1.03559241199463,0.964582052522,0.99868973605913,3
"1977",1.03505525835696,0.957418411434172,0.994538171839139,3
"1978",1.03655203610161,0.954221313190832,0.994008648310726,3
"1979",1.04134185578141,0.955178139012846,0.996629986838619,3
"1980",1.04850653973871,0.958507454706409,1.00188985932383,3
"1981",1.05435888743242,0.960248456156106,1.00577491194724,3
"1982",1.05484369425165,0.95554588609329,1.00345371715965,3
"1983",1.05543758812072,0.950442600925165,1.00100611240391,3
"1984",1.05774231153678,0.947772118787467,1.00096647693843,3
"1985",1.06056336047013,0.94621756717001,1.00139269054632,3
"1986",1.05912741667337,0.941759462014873,0.998371079201765,3
"1987",1.05426191963692,0.934796116590888,0.992453875622888,3
"1988",1.05151817044452,0.929708328614785,0.988760527077856,3
