"year","Lower_CI","Upper_CI","Index"
1970,1,1,1
1971,1.00023923898197,1.02235675302407,1.00664578023858
1972,0.998954787440303,1.03779112428889,1.01004697082069
1973,0.991828488093703,1.04441227855028,1.00847280630639
1974,0.98209087951445,1.04567760854492,1.00299965857322
1975,0.975544076265484,1.04736232649039,1.00010750220888
1976,0.968965054401065,1.04630452083452,0.996140438510315
1977,0.961691004136381,1.0441298803361,0.991585471586805
1978,0.958182362001152,1.04545897842635,0.990780262570792
1979,0.958048561657697,1.04975998546493,0.993037074032076
1980,0.960438952875764,1.05763959623782,0.998134644225745
1981,0.961083193278161,1.06251018902487,1.00181551863309
1982,0.956310706392558,1.05924190071487,0.999295252257619
1983,0.950842315532035,1.05717487659939,0.996653449932375
1984,0.948428299790459,1.05845438059566,0.996798360768569
1985,0.948036041226147,1.06103649970271,0.997466715418824
1986,0.944110813481859,1.05969328877315,0.994642515654754
1987,0.936009902789105,1.05318210337665,0.988539962115329
1988,0.929112808991382,1.04842749370023,0.984594179017707
1989,0.921029961734947,1.0429102399494,0.979836013986669
1990,0.913629640525464,1.03922793930972,0.976099532177886
1991,0.904183656957059,1.03321972068173,0.970883678799031
1992,0.895658737262413,1.02721924687533,0.966107101012361
1993,0.893606642502953,1.03028673121412,0.968552089839236
1994,0.898156214501591,1.03926949730902,0.975817560111691
1995,0.898142351696999,1.04304376372063,0.978130453885989
1996,0.901429049288801,1.04979555622325,0.982616658561435
1997,0.899944932415931,1.05162939218294,0.981488658282066
1998,0.890472122708868,1.04383823089095,0.972701127067208
1999,0.878977995016252,1.03393214610946,0.961957732472013
2000,0.867944692794533,1.02350910261374,0.95241315209679
2001,0.861601710391953,1.01931024074563,0.949035326252811
2002,0.854508124611343,1.01515962304939,0.946004937649714
2003,0.850038275881902,1.01385947830092,0.944194508514871
2004,0.848270523421434,1.01478673389623,0.943890041734455
2005,0.850058665161785,1.01938676009844,0.945719255758765
2006,0.849066031665161,1.02085645946254,0.944731673471793
2007,0.848184083672636,1.02135338314039,0.944983448933306
2008,0.843242347652636,1.01766050798432,0.940067877343686
2009,0.836522575888953,1.01219632018898,0.933367996991352
2010,0.830440011538085,1.00688381792113,0.926472430406744
2011,0.823414203367201,1.00160773319741,0.919856304653498
2012,0.815698923796168,0.99491553612306,0.912133387846736
2013,0.811083213211522,0.991619923778677,0.908543099845245
2014,0.808291968266049,0.990931974853154,0.907347672988765
2015,0.80987630844854,0.996975830906481,0.910835888124383
2016,0.812221296883613,1.00091698175998,0.914073701461663
2017,0.80886017498037,0.997746294900145,0.910070575003885
2018,0.802512226823466,0.99255535085065,0.902877437436978
2019,0.803368693436389,0.995483362847515,0.903015074563743
2020,0.805949096962848,1.00038249517004,0.90528967744655
2021,0.809368552371316,1.00717461902362,0.908344094221689
2022,0.807009994052948,1.00809737419363,0.905585657814507
