"initial_year","Year","LPI_final","CI_low","CI_high"
"1970","1970",1,1,1
"1970","1971",1.00676263492839,0.995473629834372,1.01800763625738
"1970","1972",1.01054635348568,0.995258182413492,1.02582789804681
"1970","1973",1.00966606951891,0.991128078908516,1.02784971375383
"1970","1974",1.00471709547766,0.983739634333211,1.02526943631105
"1970","1975",1.0022807107562,0.979529778726493,1.02477711526217
"1970","1976",0.99868973605913,0.974897119330617,1.02275868325174
"1970","1977",0.994538171839139,0.969151289927082,1.02028203948716
"1970","1978",0.994008648310726,0.967622556804381,1.02140410132608
"1970","1979",0.996629986838619,0.969030584697205,1.02476020293133
"1970","1980",1.00188985932383,0.973227901524236,1.03115208763531
"1970","1981",1.00577491194724,0.976541573197741,1.03615473096001
"1970","1982",1.00345371715965,0.97354305993333,1.03491384618589
"1970","1983",1.00100611240391,0.969464355615463,1.03403586610067
"1970","1984",1.00096647693843,0.968484924417299,1.03466913214935
"1970","1985",1.00139269054632,0.968502989894113,1.0358403819506
"1970","1986",0.998371079201765,0.96457744555044,1.03386501025614
"1970","1987",0.992453875622888,0.958481087950587,1.02812645388568
"1970","1988",0.988760527077856,0.954231747340484,1.02496709448243
"1970","1989",0.984272113586464,0.948920261286229,1.02133908205223
"1970","1990",0.980688587313802,0.944379017680961,1.01889726908127
"1970","1991",0.975476124591124,0.938339978879334,1.01403718126891
"1970","1992",0.970761355912233,0.932790009845078,1.00998140608663
"1970","1993",0.973173044203925,0.934072860138662,1.0134165729042
"1970","1994",0.979886683729666,0.939357159690357,1.02196795257612
"1970","1995",0.981409426591635,0.93996131513254,1.02475106853827
"1970","1996",0.985184032556281,0.94328899645356,1.02942742588572
"1970","1997",0.983668887651916,0.941140535162642,1.02957393659059
"1970","1998",0.974759008192872,0.931407197972345,1.0213097827052
"1970","1999",0.964233931667817,0.920520337898688,1.01111630332042
"1970","2000",0.955106356576805,0.910910446459249,1.00203519440016
"1970","2001",0.951831064413902,0.906784693068657,0.999183672395691
"1970","2002",0.949290808354786,0.903710411336374,0.996800784613332
"1970","2003",0.947878450535172,0.901984809565426,0.995882681242942
"1970","2004",0.947813542318012,0.900944850232491,0.997180467078626
"1970","2005",0.949588199798299,0.902450880383277,1.00028345768409
"1970","2006",0.948306741304291,0.900486620348255,0.998826958063646
"1970","2007",0.948108508968305,0.900084500002126,0.99874440342128
"1970","2008",0.942752211200289,0.894678862983701,0.993679576813675
"1970","2009",0.935710206989275,0.886615411891288,0.98727561565675
"1970","2010",0.928786285460708,0.879784898475444,0.980492869518071
"1970","2011",0.92256218326432,0.873831523696674,0.974636611922435
"1970","2012",0.91527448105783,0.866597614169031,0.966987447066944
"1970","2013",0.912042600685779,0.862791570721026,0.963853538311312
"1970","2014",0.911151893643842,0.862156549144171,0.963457072058044
"1970","2015",0.914747893986143,0.864869297016882,0.967515485216807
"1970","2016",0.917935060326489,0.867977956967215,0.971176040940152
"1970","2017",0.913590731535856,0.863515979476185,0.967099522434734
"1970","2018",0.905758692674327,0.855626525072667,0.959381699538626
"1970","2019",0.905111888698636,0.854740170179388,0.958975107233671
"1970","2020",0.90654369856612,0.855193264892455,0.960813391378826
"1970","2021",0.908750052396068,0.856199408151157,0.964265183460189
"1970","2022",0.904732000407225,0.850475450383346,0.961271694893549
"1970","2023",0.904732000407225,0.850475450383346,0.961271694893549
"1975","1975",1,1,1
"1975","1976",0.996417196641084,0.987972566345062,1.0048149861509
"1975","1977",0.992275079392455,0.979412570398088,1.00505163137361
"1975","1978",0.991746760805925,0.976293165732303,1.00746398740456
"1975","1979",0.994362134423078,0.977370902124745,1.01153410758043
"1975","1980",0.999610037958248,0.981433105492624,1.0185892732092
"1975","1981",1.00348625006302,0.984041075532104,1.02403587810003
"1975","1982",1.0011703372028,0.98008601139499,1.02337805763493
"1975","1983",0.998728302022956,0.976112973902542,1.02237952444181
"1975","1984",0.998688756748813,0.97491634578635,1.02298195892376
"1975","1985",0.999114000498709,0.974224170271285,1.02450301514434
"1975","1986",0.996099264894074,0.970340199326349,1.02276946585517
"1975","1987",0.990195526035912,0.963238434893067,1.01774209581192
"1975","1988",0.986510581782875,0.958447462017965,1.0148253685535
"1975","1989",0.982032381770419,0.952917221085117,1.01154990026912
"1975","1990",0.978457009886869,0.948464889738182,1.00887496905173
"1975","1991",0.973256408232324,0.942424067334794,1.00455042325406
"1975","1992",0.968552368108341,0.937220731608155,1.00060890431526
"1975","1993",0.970958568552798,0.937878567218188,1.00431775327192
"1975","1994",0.97765693105114,0.942815219861442,1.01383014507409
"1975","1995",0.979176208879824,0.943265710146587,1.01690260645131
"1975","1996",0.982942225649515,0.945995343704502,1.02171713721272
"1975","1997",0.981430528489123,0.943470273179333,1.02140695648682
"1975","1998",0.97254092364746,0.933053787290925,1.01365769511157
"1975","1999",0.962039797154551,0.922151215173725,1.00335921634044
"1975","2000",0.952932992051891,0.912664132981873,0.994542723677369
"1975","2001",0.949665152884925,0.908701683597127,0.992809391218984
"1975","2002",0.947130677231693,0.905115380504582,0.990992426587644
"1975","2003",0.945721533261887,0.903124005013459,0.990208169556624
"1975","2004",0.945656772744736,0.902407592830628,0.990630897088167
"1975","2005",0.947427391954745,0.903882438487521,0.993019561041928
"1975","2006",0.946148849446388,0.901975747562285,0.992694991613426
"1975","2007",0.945951068192237,0.901313792211707,0.992828680134586
"1975","2008",0.940606958792012,0.896522992770261,0.987475354811301
"1975","2009",0.933580978809117,0.888953727527343,0.980512726978833
"1975","2010",0.926672812809053,0.881784413955333,0.974508932839429
"1975","2011",0.920462873687614,0.874817509395067,0.968607877341875
"1975","2012",0.91319175480018,0.867952871740595,0.961744515824027
"1975","2013",0.909967228639627,0.864992455502582,0.95827702846082
"1975","2014",0.909078548420226,0.863366658253393,0.958329657363892
"1975","2015",0.912666365988408,0.866243757145077,0.962331013217529
"1975","2016",0.915846279864972,0.868584445716148,0.965743680410519
"1975","2017",0.91151183668552,0.864595267812253,0.961136016931202
