"year","Lower_CI","Upper_CI","Index"
1970,1,1,1
1971,0.997865368069172,1.01553094861585,1.00664578023858
1972,0.994488113067761,1.02660980273592,1.01033785148557
1973,0.986603694995276,1.03207277103048,1.00876323363194
1974,0.976044149481187,1.03262344377889,1.00328850970192
1975,0.969175448432009,1.03413602505154,1.00043019910951
1976,0.962535239347462,1.03344824546987,0.996461855389395
1977,0.954915970992987,1.03203859314213,0.991905418750174
1978,0.951742114421732,1.03392101784408,0.9909852500919
1979,0.952265323421733,1.03798313829758,0.993242528476279
1980,0.955092567709513,1.04547969459225,0.998341153331932
1981,0.956595914039121,1.0506602255327,1.00202278929393
1982,0.951725269057088,1.05104407971488,0.99950200148785
1983,0.946411031558311,1.05137048163997,0.996913421351161
1984,0.94407923097995,1.05435627245147,0.997058369986527
1985,0.942519992241927,1.05682717896508,0.997726898973315
1986,0.938115917567452,1.05530336428243,0.9949019625327
1987,0.930803929133073,1.05055715753328,0.988797817176679
1988,0.926080437086622,1.04769170562342,0.98485100484384
1989,0.920156870784463,1.04429988943901,0.980091598672349
1990,0.914825569718265,1.04240552202449,0.976354142223407
1991,0.908019454455667,1.03885357923657,0.971136928318681
1992,0.901971942265323,1.03571137832935,0.96656894836539
1993,0.90285855117943,1.04040298190087,0.969290815897525
1994,0.907764412720605,1.05009545270614,0.976561827629517
1995,0.908029116961659,1.05456047090265,0.978876485475071
1996,0.911355667839335,1.06116197913898,0.98336611183153
1997,0.90984365193069,1.06076644541322,0.982237251213096
1998,0.900249179675444,1.05282212192214,0.973443017644937
1999,0.888582559814536,1.04295514768781,0.962691428936462
2000,0.87837457855917,1.03499067303337,0.953139568797648
2001,0.873066481816185,1.03311633222048,0.949350502790109
2002,0.868646729554778,1.03165991985043,0.946319107788873
2003,0.864646602428863,1.03139181743533,0.94450807740688
2004,0.863355160803666,1.03181834338287,0.944203509512434
2005,0.863844708180359,1.03531118646613,0.946033331022394
2006,0.861593950401036,1.03539297656787,0.945045420757362
2007,0.860598037365558,1.03691436173627,0.945297279834011
2008,0.854938969593428,1.03320783083394,0.940380075773197
2009,0.847884107642145,1.02771326975081,0.93355194501503
2010,0.840694283412761,1.02140219516537,0.926486711672959
2011,0.833244888352423,1.01561976177892,0.919870483934321
2012,0.825600390579774,1.00859555820422,0.91214744808135
2013,0.820342396420846,1.0073934982133,0.908569361427566
2014,0.817879932712025,1.00768937073689,0.907450949289516
2015,0.819191554933375,1.01364859815043,0.910939561461425
2016,0.821309533544909,1.01850102142245,0.914177743333716
2017,0.817058643228459,1.01490032416708,0.910174161231311
2018,0.809349541982967,1.00714268252522,0.902980204925721
2019,0.809308706925451,1.0070731699362,0.903117857718645
2020,0.810760796260122,1.01100910194884,0.905392719501737
2021,0.811820789318648,1.01616071396407,0.908447483937289
2022,0.807546910039094,1.01562551884828,0.905549807677634
