"","CI_high","CI_low","LPI_final"
"1970",1,1,1
"1971",1.01076593515315,0.990356677459756,1.0003483568833
"1972",1.01461315920035,0.976021137290524,0.994596655274639
"1973",1.01442208492627,0.959052568378963,0.985457980153182
"1974",1.01276715602357,0.942535215825873,0.975806887503078
"1975",1.01092846156925,0.926417886812965,0.966414108398466
"1976",1.00984142387979,0.920233808912547,0.962571495202387
"1977",1.00875453181983,0.912891177897995,0.957992058461187
"1978",1.00967526531735,0.910515040488919,0.956696693359946
"1979",1.01220822682936,0.910732885504988,0.958188806754483
"1980",1.01623207680344,0.913213898603859,0.961962867211478
"1981",1.01968259866469,0.913370941233648,0.964369260219211
"1982",1.01746569179916,0.907740137115637,0.960082447621588
"1983",1.01722114745067,0.902846954073885,0.957603940187838
"1984",1.01867118646989,0.899983976370837,0.95659333827867
"1985",1.02069275961341,0.898573383179711,0.95671997607577
"1986",1.01862170961182,0.894353003145767,0.953481715111633
"1987",1.01292688674606,0.887837995067401,0.947367011242143
"1988",1.00980333551866,0.882186985684614,0.942979056202514
"1989",1.00562009861468,0.875532731347489,0.937574861169334
"1990",1.00235389063362,0.86912565203151,0.932904905209949
"1991",0.998112560242577,0.861232399535335,0.926647486041562
"1992",0.994325535928648,0.854311627587802,0.920905451071547
"1993",0.997711279884993,0.853026507079862,0.921775785118519
"1994",1.00270312541737,0.854852279038854,0.924827139900343
"1995",1.0031016183027,0.85329752131749,0.924922519888069
"1996",1.00669526112069,0.854291827291713,0.92729170709005
"1997",1.00509461671814,0.850994933102176,0.924601950664224
"1998",0.997467580674289,0.84161916808764,0.915720714122639
"1999",0.986082734552539,0.829394108507676,0.904304566349794
"2000",0.974744899118282,0.816480210430175,0.891815989474495
"2001",0.969828324063216,0.808823804375133,0.885115007091507
"2002",0.965688463725623,0.801694104407915,0.879201932061008
"2003",0.96133449980688,0.795369156274173,0.873540309477815
"2004",0.961170686252402,0.79307909400793,0.872542892572081
"2005",0.96488746580632,0.793641971249196,0.874385732156717
"2006",0.96506183282787,0.791540419077253,0.873097264503148
"2007",0.964528569266476,0.788508662819721,0.871055906342632
"2008",0.959784466472675,0.782123919578749,0.865242663216712
"2009",0.952735738414932,0.774308201697074,0.858123652694017
"2010",0.945604747218134,0.766443841334258,0.851281835331536
"2011",0.939555836712193,0.758948624326748,0.844304095566991
"2012",0.931202085588202,0.750639331943003,0.835945206516234
"2013",0.925702814336534,0.744272677849128,0.830451920647088
"2014",0.924085010791892,0.74025663146124,0.827261988081611
"2015",0.92794010504719,0.74054426383579,0.828993785761359
"2016",0.930731849652616,0.741303357554729,0.830679286785667
"2017",0.925927579373445,0.736086892558531,0.825392320686243
"2018",0.917633736890751,0.727673645381613,0.817221454476799
"2019",0.916224657750965,0.725073094477137,0.815067971826029
"2020",0.915871557363506,0.723617045017738,0.814016275291537
"2021",0.912688937506724,0.718037803856663,0.809410185294226
"2022",0.900877874575007,0.704470621890815,0.796831828019451
