"year","CI_high","CI_low","LPI_final","period"
"1970",1,1,1,5
"1971",1.01487247030795,0.997407696134655,1.00611520748272,5
"1972",1.02555378413472,0.993441729932892,1.00937059251162,5
"1973",1.03089072724559,0.986163132681911,1.00834957550474,5
"1974",1.03199119022373,0.975926224814358,1.00345170500532,5
"1975",1.03435457461405,0.968816274424784,1.00085053860936,5
"1976",1.03456385170197,0.962718093499453,0.997765187618117,5
"1977",1.03151440574157,0.953493411983208,0.991792439815117,5
"1978",1.03054768091722,0.948745253803046,0.988808574810024,5
"1979",1.03307709390676,0.947920332752393,0.989694995314525,5
"1980",1.03885752926939,0.949510320284754,0.993172936456896,5
"1981",1.04335038595495,0.949507415175307,0.995315555844275,5
"1982",1.04422257635704,0.946288589823548,0.994094463753516,5
"1983",1.04434571348152,0.942261204494958,0.992179067679307,5
"1984",1.04647913852035,0.939593895533299,0.99163937815333,5
"1985",1.04957914210851,0.938572201543142,0.992706012215758,5
"1986",1.04892590532669,0.934886508261096,0.990383974721544,5
"1987",1.04394050336571,0.928249130167472,0.984627780341635,5
"1988",1.04113886804391,0.923532218873551,0.980844001744701,5
"1989",1.03834413637629,0.917771695791369,0.976342163750524,5
"1990",1.03587591790214,0.91204875084002,0.972329871255072,5
"1991",1.03196831954108,0.904917182595737,0.967254337160825,5
"1992",1.02883013024953,0.897636052184036,0.962141965755218,5
"1993",1.03172298322792,0.896702168912879,0.963069086512354,5
"1994",1.03763339232618,0.899168627593006,0.96682275794908,5
"1995",1.04108056420805,0.897950816509962,0.967555153128365,5
"1996",1.04221282197694,0.897565004860096,0.967626773678721,5
"1997",1.03810018958435,0.893098441449408,0.963339590810548,5
"1998",1.02944791593359,0.884414413513338,0.954485405685105,5
"1999",1.02084627867241,0.874397856842789,0.944729935231263,5
"2000",1.01314681740864,0.864935078452002,0.935913284407439,5
"2001",1.01164684321131,0.861477214823936,0.933224469545789,5
"2002",1.01204144972336,0.858249737878482,0.931751422707,5
"2003",1.01097264190298,0.85430512886018,0.929695009031581,5
"2004",1.01162120211254,0.851672938638646,0.928755218549114,5
"2005",1.0121804158689,0.850306353033748,0.928674146634061,5
"2006",1.01081844761733,0.847019558765346,0.926699624291802,5
"2007",1.0105896238686,0.844982566574275,0.925421266804037,5
"2008",1.00632587241509,0.839584430123396,0.92023359111147,5
"2009",1.00212751198538,0.833003349304888,0.914505569217549,5
"2010",0.996821465570651,0.826404684418284,0.908225492771296,5
"2011",0.993203820433964,0.820395674857352,0.90354608794127,5
"2012",0.98830499318382,0.813216570245376,0.897420140935803,5
"2013",0.983116245363238,0.80667663910931,0.891577152170794,5
"2014",0.981670879193036,0.802725467363395,0.888775044881601,5
"2015",0.983484380754642,0.801705523232092,0.889208458174174,5
"2016",0.986540178664982,0.801718889958575,0.890543396129971,5
"2017",0.983709668129341,0.797875437478037,0.887194184963129,5
"2018",0.9766057966124,0.790119942434368,0.879568671529467,5
"2019",0.976847374586309,0.788927639254859,0.879227402016548,5
"2020",0.979029687948397,0.788706699409177,0.880820733096054,5
"2021",0.983243041401639,0.789113875607881,0.882740413617481,5
"2022",0.98081943369591,0.782585132579327,0.878254705249245,5
"1970",1,1,1,10
"1971",1.02122560509874,1.00667151781418,1.01405252140318,10
"1972",1.03709543608529,1.01125582296106,1.0243540809492,10
"1973",1.0468441687073,1.01064492875284,1.02892808195707,10
"1974",1.05686112022155,1.01233836421919,1.03466144734919,10
"1975",1.06702523322734,1.01584997521179,1.04116107893702,10
"1976",1.07318069612963,1.01591935993259,1.04416939160836,10
"1977",1.07542065982912,1.01231168473436,1.04313586262661,10
"1978",1.07653016215376,1.00736971110984,1.04101504447381,10
"1979",1.08154935901308,1.00715687771533,1.04343223843735,10
"1980",1.08902014872007,1.00973389655874,1.04823530519677,10
"1981",1.09336747151546,1.00994150344783,1.05092885539163,10
"1982",1.09431386104801,1.00653416384264,1.04948580895309,10
"1983",1.09421543680377,1.00209675891681,1.04695289525172,10
"1984",1.09625493728593,0.999337656379764,1.04652306853985,10
"1985",1.10022406427592,0.998890613052189,1.04816351955791,10
"1986",1.1030287351973,0.998844216652289,1.04981367804552,10
"1987",1.10404405841875,0.996528917143379,1.04912480647688,10
"1988",1.10381323719797,0.994054346992099,1.0477127323498,10
"1989",1.10340484483768,0.991504606048731,1.04596684459995,10
"1990",1.10371353858269,0.988504092936308,1.04475950798154,10
"1991",1.10138633069626,0.982386470265348,1.04079608979481,10
"1992",1.09942224315019,0.976828853346938,1.03680332871087,10
"1993",1.10480904514119,0.977215384372974,1.03923344684435,10
"1994",1.11586650202909,0.981307119125081,1.0464687785943,10
"1995",1.12179416417023,0.981368758236915,1.04978994275866,10
"1996",1.12597036667562,0.981421967612758,1.0516026513512,10
"1997",1.12434091339695,0.977365557471015,1.04891931458958,10
"1998",1.11610798193913,0.968432009857058,1.04044741243525,10
"1999",1.1060005386789,0.956882726098841,1.02983868282317,10
"2000",1.09710657284574,0.946201968470175,1.0201845711922,10
"2001",1.09619843713134,0.943139950413423,1.01793680533759,10
"2002",1.09829649253377,0.941208098965252,1.01827344214806,10
"2003",1.10120823366609,0.941090944572134,1.0192238268427,10
"2004",1.10323043170847,0.940209793463699,1.01970788208688,10
"2005",1.10776968688784,0.94201232570904,1.02261500973798,10
"2006",1.11139144716534,0.942656007329025,1.02445584780533,10
"2007",1.11413698571958,0.94127158731063,1.02515207704237,10
"2008",1.11243832049255,0.936978040889667,1.02196861090757,10
"2009",1.10942240757365,0.932018137758785,1.01758319274958,10
"2010",1.10616097758246,0.926832480173945,1.0131529531826,10
"2011",1.10463076519401,0.922485334555856,1.00972875804098,10
"2012",1.10252751887949,0.918286511922101,1.00670904179624,10
"2013",1.10165974035133,0.914169100697938,1.00394859076869,10
"2014",1.1044544097197,0.913398370400224,1.00459506026944,10
"2015",1.11110076676807,0.916356123340583,1.00875887813936,10
"2016",1.11679108715762,0.918252937902509,1.01248315744013,10
"2017",1.11444491401957,0.91437583231334,1.00946281058497,10
"2018",1.10585402689973,0.904446884175003,1.00028664114321,10
"2019",1.10288986642798,0.900513423195378,0.996830389701077,10
"2020",1.10279972921155,0.89821770358816,0.995673419466663,10
"2021",1.10375801312691,0.896004908998394,0.994865700397918,10
"2022",1.0994556512887,0.886538571225086,0.988566225689449,10
"1970",1,1,1,15
"1971",1.02545911925374,1.01037020605552,1.01800561929035,15
"1972",1.04368245563564,1.01754097743023,1.03066780881252,15
"1973",1.05437798509953,1.01782993345271,1.03627677659468,15
"1974",1.06332832372357,1.0188988750041,1.04128200587919,15
"1975",1.07283803674403,1.02201393335583,1.04746283324806,15
"1976",1.07961501314791,1.02253574532151,1.05099475494479,15
"1977",1.0835462043036,1.02004239508287,1.05151094301355,15
"1978",1.0866870566373,1.01688190070242,1.05141368999853,15
"1979",1.0941100162348,1.01762785429684,1.0550681390602,15
"1980",1.10262264755411,1.02081447532948,1.06057070799565,15
"1981",1.10859048833197,1.02240184628272,1.06381218299882,15
"1982",1.11021967656508,1.01951440953321,1.06317384061966,15
"1983",1.11078292180486,1.01613290528216,1.06226343107576,15
"1984",1.1129439333432,1.01446143103824,1.06248908998971,15
"1985",1.11592916478574,1.01363290259315,1.0636589718356,15
"1986",1.11825828750478,1.01254186712078,1.06427408833059,15
"1987",1.11793382775059,1.01008016094119,1.06305192289244,15
"1988",1.11792269276904,1.00769300654476,1.06152688381686,15
"1989",1.11805448518349,1.00430867333015,1.05984185477553,15
"1990",1.11899727920302,1.00109088044662,1.0586892053014,15
"1991",1.11687211170342,0.994207893362228,1.05379272438938,15
"1992",1.11329790544036,0.986247248860539,1.04781807945012,15
"1993",1.11598797172646,0.984074641166935,1.04778115342467,15
"1994",1.12115704631326,0.982886728402855,1.04974137424751,15
"1995",1.12585321347832,0.982267623660798,1.05165497727185,15
"1996",1.13020421187546,0.98224430863885,1.05373459792243,15
"1997",1.12987945606801,0.979962099905101,1.05256740231137,15
"1998",1.12401938917856,0.972876235222625,1.04600456255459,15
"1999",1.1148660405779,0.96237153841065,1.03615431884424,15
"2000",1.10559071185897,0.951178467669357,1.02645471986262,15
"2001",1.10530179975366,0.947623328654049,1.02409423556909,15
"2002",1.10814232240896,0.946292321119503,1.02428459311378,15
"2003",1.11282645599749,0.947042255319749,1.0264466430269,15
