"","CI_low","CI_high","LPI_final"
"1970",1,1,1
"1971",1.00242064982026,1.04834622968549,1.02233430520865
"1972",1.00475748229032,1.08293846477492,1.03742382199377
"1973",0.996292688579569,1.10278995577141,1.03912844184792
"1974",0.983764746826295,1.1136080292774,1.03367450718929
"1975",0.971690955166774,1.1156998294426,1.02913327915132
"1976",0.953691887379087,1.10600023903232,1.01475455312304
"1977",0.934162092699928,1.09734744873358,1.00041261595565
"1978",0.929903891495351,1.09873949783847,0.997830714921074
"1979",0.929963624190449,1.10599681155225,0.999857635777285
"1980",0.932650928949617,1.11685192261128,1.0047962055806
"1981",0.934427816055338,1.12892409848975,1.00953278901387
"1982",0.927604466650623,1.13458277424999,1.00532217164962
"1983",0.924240973538823,1.14330233818114,1.00492483974293
"1984",0.92140177076128,1.15143883701053,1.00602370784315
"1985",0.920063798588191,1.15420672039596,1.0068478109852
"1986",0.913414114641824,1.15157158625985,1.00186452574708
"1987",0.899401347755848,1.14016201970396,0.987858167265832
"1988",0.888364181252464,1.13267050379166,0.975519313647987
"1989",0.87361908688542,1.12065148589133,0.960614293423374
"1990",0.863703918127655,1.11294016449486,0.952765405830567
"1991",0.853207730665287,1.1044509861,0.944361900157052
"1992",0.845037562593651,1.099377101519,0.938204512709235
"1993",0.849025296888043,1.10906695153305,0.945428257861153
"1994",0.862505943508299,1.13120720372864,0.962416881762943
"1995",0.868243596496646,1.14444568044286,0.97122873479113
"1996",0.876067196603065,1.15813951448592,0.980653287392771
"1997",0.872713863074167,1.15695594374919,0.97700234842976
"1998",0.857690578914592,1.14097976479226,0.961990870916278
"1999",0.843492825810345,1.12391078712885,0.947975328097035
"2000",0.832898248270125,1.11228162068768,0.938634688449449
"2001",0.835450532069895,1.11747972299093,0.942304595693921
"2002",0.835436773387293,1.12355837990333,0.942943339222604
"2003",0.832148845546284,1.12831323943296,0.940995212894073
"2004",0.830095269507742,1.13124843249021,0.939170940417386
"2005",0.829246178231793,1.13492962213423,0.940255517463516
"2006",0.826197088410801,1.13432751044904,0.937792269142935
"2007",0.827225807979818,1.13875091224852,0.93950022762152
"2008",0.824574246696265,1.13709835612077,0.936450724117454
"2009",0.818425855646189,1.13105170132826,0.93097622252508
"2010",0.81098905835181,1.12277858641158,0.923290580932799
"2011",0.801834613260309,1.11387573893987,0.914520085970119
"2012",0.790189014717574,1.10368437943939,0.90386414712058
"2013",0.785229150284149,1.09864647216972,0.899904456127336
"2014",0.781512280313454,1.09847124856555,0.897729053782008
"2015",0.783230297035983,1.10517922827361,0.902059135511971
"2016",0.787437680561602,1.1133155464847,0.907259474058629
"2017",0.78345725870601,1.10821362545772,0.903673094528525
"2018",0.767509532340254,1.08538234381372,0.887664644724865
"2019",0.768864201989331,1.08277639305668,0.893444502712973
"2020",0.766162085818304,1.07826101816693,0.89763382880324
"2021",0.765910324752335,1.08059665117164,0.90511536235956
"2022",0.759466894546922,1.08197417616234,0.905499006980436
