"","LPI_final","CI_low","CI_high","year"
"1970",1,1,1,1970
"1971",1.00664578023858,0.995523491615133,1.01813276902183,1971
"1972",1.01033785148557,0.994887131632522,1.02564189304432,1972
"1973",1.00876323363194,0.990274858665638,1.02721564720638,1973
"1974",1.00328850970192,0.982448969585424,1.02385960747055,1974
"1975",1.00043019910951,0.977572728197212,1.02263899861399,1975
"1976",0.996461855389395,0.972297436053282,1.02081081897596,1976
"1977",0.991905418750174,0.965931229858771,1.01806514155954,1977
"1978",0.9909852500919,0.96395170237639,1.01851476061668,1978
"1979",0.993242528476279,0.964762043591327,1.02188880214242,1979
"1980",0.998341153331931,0.969081243887071,1.02803667282769,1980
"1981",1.00202278929393,0.972120625893826,1.03229013026287,1981
"1982",0.99950200148785,0.968725181557365,1.03069811724667,1982
"1983",0.996913421351161,0.964784391813684,1.02984482262449,1983
"1984",0.997058369986527,0.964112927283745,1.03119487039415,1984
"1985",0.997726898973315,0.964084004126338,1.0324816223381,1985
"1986",0.9949019625327,0.961314257542746,1.02991493063493,1986
"1987",0.988797817176679,0.954031678919045,1.02484048115933,1987
"1988",0.98485100484384,0.949352467340012,1.02152235923281,1988
"1989",0.980091598672349,0.944226364113167,1.01712710745451,1989
"1990",0.976354142223407,0.939604560764495,1.01427294464498,1990
"1991",0.971136928318681,0.933510178845406,1.010267321978,1991
"1992",0.966568948365389,0.928694547228561,1.00622754566605,1992
"1993",0.969290815897524,0.93058699896036,1.0106010427564,1993
"1994",0.976561827629517,0.935869732959374,1.0190480291104,1994
"1995",0.978876485475071,0.937061537556738,1.02304998937467,1995
"1996",0.98336611183153,0.9401007754191,1.02833666290806,1996
"1997",0.982237251213096,0.93837216444767,1.02774608902421,1997
"1998",0.973443017644937,0.928966323138912,1.02022889863646,1998
"1999",0.962691428936462,0.917564397800056,1.00951199912971,1999
"2000",0.953139568797648,0.907670745951127,1.00077320244227,2000
"2001",0.949350502790109,0.903558767517861,0.998161070138964,2001
"2002",0.946319107788873,0.899898687971478,0.996684961127757,2002
"2003",0.94450807740688,0.89704727498059,0.995020310329384,2003
"2004",0.944203509512434,0.896294355179247,0.995888356494997,2004
"2005",0.946033331022394,0.896681745521502,0.998101421037636,2005
"2006",0.945045420757362,0.895750435732827,0.997010912951585,2006
"2007",0.945297279834011,0.895732768155133,0.997856731088403,2007
"2008",0.940380075773197,0.891244837313902,0.99352546406479,2008
"2009",0.93355194501503,0.883719511150794,0.986527699290748,2009
"2010",0.926486711672959,0.876698208669897,0.979515115961096,2010
"2011",0.919870483934321,0.870374269007518,0.972657059123697,2011
"2012",0.91214744808135,0.862668162260943,0.965378191962108,2012
"2013",0.908569361427566,0.858772920500409,0.962090368873867,2013
"2014",0.907450949289516,0.857708237668994,0.961024788888337,2014
"2015",0.910939561461426,0.860342716124615,0.965370322800532,2015
"2016",0.914177743333716,0.8632693968706,0.969744987263289,2016
"2017",0.910174161231311,0.859446049259148,0.965091917740357,2017
"2018",0.902980204925721,0.852296638434307,0.957810301700871,2018
"2019",0.903117857718645,0.85204195403696,0.958135418113755,2019
"2020",0.905392719501738,0.853398837452649,0.96106008186958,2020
"2021",0.908447483937289,0.856038218257244,0.964618008704803,2021
"2022",0.905549807677634,0.851829137508151,0.962633615987031,2022
