"","Binomial","Freq","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Acanthis_flammea","Acanthis_flammea",52,1,0.00364380237732953,0.00324397790430087,0.00280318525101264,0.00236574759796215,0.00198095170949708,0.00165760170498863,0.00137881891111313,0.00114926384656788,0.000999251246009525,0.00093852144606732,0.000930644696047089,NA
"Acanthis_hornemanni","Acanthis_hornemanni",52,1,0.00658807761181224,0.00660824015403649,0.00656555973917072,0.00649261661640432,0.00642227669981243,0.00636191847739054,0.00630373485113078,0.00624946909444712,0.00621269643043987,0.00619972193526008,0.00620006215485547,NA
"Accipiter_cooperii","Accipiter_cooperii",53,1,-0.00419325247653668,-0.00412208595339991,-0.0035113652375891,-0.00250984655116215,-0.00129887303803522,-2.43092309566428e-05,0.0011813926341615,0.0021319551090706,0.00263053287143378,0.0026352366696889,0.00235557108521234,0.00211896631245501
"Accipiter_gentilis","Accipiter_gentilis",53,1,-0.00210587300209997,-0.00223552342368816,-0.00234913564136896,-0.00244509545724103,-0.002522629203636,-0.00258227207468331,-0.00262774613504058,-0.00266508582902203,-0.0026983703055472,-0.00272678629591994,-0.0027465959475661,-0.0027557865455754
"Accipiter_striatus","Accipiter_striatus",53,1,-0.00656882736487541,-0.00783721868674858,-0.0088616328674731,-0.0095985960282674,-0.0101650699153868,-0.0106640481454692,-0.0110521814712512,-0.0112313581671644,-0.0112334546485282,-0.0112225617502824,-0.0112992068244917,-0.0113919630608801
"Acipenser_brevirostrum","Acipenser_brevirostrum",3,1,-0.0167291891290402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acipenser_fulvescens","Acipenser_fulvescens",59,1,-0.0435383677860496,-0.0512710080987622,-0.0185125288709681,0.0184834216411386,0.00141547059206593,0.0136715747970286,0.0411406472346934,0.0463573055774114,0.0485081992001981,0.0307820164335288,0.0307820164335291,0.0307820164335291
"Acipenser_medirostris","Acipenser_medirostris",4,1,-0.0463156216380258,-0.0463156216380249,-0.0463156216380258,-0.0463156216380249,-0.0463156216380258,-0.0463156216380254,NA,NA,NA,NA,NA,NA
"Acipenser_oxyrinchus","Acipenser_oxyrinchus",14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acipenser_transmontanus","Acipenser_transmontanus",14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actitis_macularius","Actitis_macularius",53,1,-0.00465616628435594,-0.00325465726400459,-0.00175656334751828,-0.000433815653349878,0.000635786309711173,0.00161195657074631,0.00265314710258624,0.00374848016793294,0.0047973831264857,0.00572345721802947,0.00643947689484087,0.00682190877622246
