population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
354,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0166671645632923,0.0149170421491149,0.0127498349641257,0.0120593262554083,0.0135576070023249,0.0164010487629107,0.0191193469083575,0.0205522096083381,0.0202593746861206,0.0184455803462007,0.0154621007316043,0.011402047313831,0.00653956033050163,0.00213896558883064,4.80813046963569e-05,0.000928209483053166,0.00332971018011552,0.00510869620507215,0.00543728080601058,0.00488392912538593,0.00403831622831685,0.00305169270766914,0.00232633733921084,0.00243099673882519,0.00301662373875677,0.00285241552435833,0.00149739621045031,7.99610633985814e-05,-0.00026377743109407,7.63587431951152e-05
4089,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54876111935209e-13,1.54654067330284e-13,NA,NA,NA,NA,NA,NA,NA,NA
1189,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0228787452804617,0.0228787452804616,NA,NA,NA,NA,NA,NA,NA,NA
1190,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.238560627359911,-0.238560627359911,NA,NA,NA,NA,NA,NA,NA,NA
1191,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0758124690268822,-0.0758124690268822,-0.0758124690268822,-0.075812469026882,NA,NA,NA,NA,NA
1192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
355,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.240008938845913,0.240008938845913,0.240008938845913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
479,1,NA,NA,NA,NA,NA,0.00232133398238776,-0.0045475401706041,-0.0079328434243986,-0.00137784822074982,0.00730539504505279,0.0081522505099072,0.00527293879406288,0.00914892586294913,0.0136043293844834,-0.00380272343030441,-0.0482438852104601,-0.0861720763194298,-0.0766561805486918,-0.0237316927125859,0.0217824365224808,0.0207429481541697,-0.0102598691481854,-0.026923312561723,-0.0154439389128609,-0.000677736666382156,-0.00159319511596911,-0.00588109562261474,0.00278812248884019,0.0153921941023927,0.0135236670350511,0.000516672107474525,-0.00476205564111276,0.00131488302701332,0.00455397581555883,0.000498676582218804,0.00202928665734836,0.0131599263013413,0.0164536313756767,0.000172702989146511,-0.0192022832940841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
