population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
425,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0123357687306049,-0.0123357687306049,-0.0123357687306051,-0.0123357687306049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
468,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.236057838205532,-0.236057838205532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
469,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.353952596541059,-0.353952596541059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
471,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.159728616871373,-0.159728616871374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,1,-0.0248340907374325,-0.0276868105439223,-0.0395059341547754,-0.0564160156669571,-0.0601378382505136,-0.0366801640626324,0.00561236284541256,0.0432579729170413,0.0597076988152425,0.0548898475140542,0.0373286987942336,0.0158615657409786,-0.00133315433033587,-0.00869806573261878,-0.00820047106154886,-0.0072706857352518,-0.00902611445979407,-0.00894998847186779,-0.00363943566621439,0.00259911589055006,0.00416746489354702,0.00251509567770691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,1,NA,NA,0.0326659938964871,0.0327519751660525,0.0337330389240882,0.0358817873993451,0.037863390586645,0.0374230399968529,0.0333143724708123,0.0264399675331131,0.0189736625399877,0.012447858418378,0.00686826344996083,0.00165486834430206,-0.00288636155456601,-0.00536885868209014,-0.004646001385058,-0.00113691684423101,0.00329181231171205,0.00669476012343173,0.00826302457065564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1913,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0576986807372765,-0.0584171040796627,-0.0565919714188401,-0.0499595035899163,-0.0406105732688607,-0.0327384261480166,-0.0279778731941941,-0.0246073407834066,-0.0211267039189004,-0.0185932917476112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.037017416339274,0.037017416339274,0.037017416339274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
761,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.405101344808659,-0.288868622496956,-0.0653287978776236,0.160723891555288,0.234031573375889,0.105325655772752,-0.0963445999356551,-0.19042772010854,-0.120922804432224,0.0248169152084008,0.134244727879473,0.157760731296807,0.111073664832598,0.0527065639698738,0.0448761787732797,0.0767176058845964,0.0420281516962442,-0.128962628547467,-0.319478883437126,-0.313594678236434,-0.0772911314072968,0.155264225907764
