year,CI_low,CI_high,LPI_final,type
1970,1,1,1,unweighted
1971,0.997865368069172,1.01553094861585,1.00664578023858,unweighted
1972,0.994488113067761,1.02660980273592,1.01033785148557,unweighted
1973,0.986603694995276,1.03207277103048,1.00876323363194,unweighted
1974,0.976044149481187,1.03262344377889,1.00328850970192,unweighted
1975,0.969175448432009,1.03413602505154,1.00043019910951,unweighted
1976,0.962535239347462,1.03344824546987,0.996461855389395,unweighted
1977,0.954915970992987,1.03203859314213,0.991905418750174,unweighted
1978,0.951742114421732,1.03392101784408,0.9909852500919,unweighted
1979,0.952265323421733,1.03798313829758,0.993242528476279,unweighted
1980,0.955092567709513,1.04547969459225,0.998341153331932,unweighted
1981,0.956595914039121,1.0506602255327,1.00202278929393,unweighted
1982,0.951725269057088,1.05104407971488,0.99950200148785,unweighted
1983,0.946411031558311,1.05137048163997,0.996913421351161,unweighted
1984,0.94407923097995,1.05435627245147,0.997058369986527,unweighted
1985,0.942519992241927,1.05682717896508,0.997726898973315,unweighted
1986,0.938115917567452,1.05530336428243,0.9949019625327,unweighted
1987,0.930803929133073,1.05055715753328,0.988797817176679,unweighted
1988,0.926080437086622,1.04769170562342,0.98485100484384,unweighted
1989,0.920156870784463,1.04429988943901,0.980091598672349,unweighted
1990,0.914825569718265,1.04240552202449,0.976354142223407,unweighted
1991,0.908019454455667,1.03885357923657,0.971136928318681,unweighted
1992,0.901971942265323,1.03571137832935,0.96656894836539,unweighted
1993,0.90285855117943,1.04040298190087,0.969290815897525,unweighted
1994,0.907764412720605,1.05009545270614,0.976561827629517,unweighted
1995,0.908029116961659,1.05456047090265,0.978876485475071,unweighted
1996,0.911355667839335,1.06116197913898,0.98336611183153,unweighted
1997,0.90984365193069,1.06076644541322,0.982237251213096,unweighted
1998,0.900249179675444,1.05282212192214,0.973443017644937,unweighted
1999,0.888582559814536,1.04295514768781,0.962691428936462,unweighted
2000,0.87837457855917,1.03499067303337,0.953139568797648,unweighted
2001,0.873066481816185,1.03311633222048,0.949350502790109,unweighted
2002,0.868646729554778,1.03165991985043,0.946319107788873,unweighted
2003,0.864646602428863,1.03139181743533,0.94450807740688,unweighted
2004,0.863355160803666,1.03181834338287,0.944203509512434,unweighted
2005,0.863844708180359,1.03531118646613,0.946033331022394,unweighted
2006,0.861593950401036,1.03539297656787,0.945045420757362,unweighted
2007,0.860598037365558,1.03691436173627,0.945297279834011,unweighted
2008,0.854938969593428,1.03320783083394,0.940380075773197,unweighted
2009,0.847884107642145,1.02771326975081,0.93355194501503,unweighted
2010,0.840694283412761,1.02140219516537,0.926486711672959,unweighted
2011,0.833244888352423,1.01561976177892,0.919870483934321,unweighted
2012,0.825600390579774,1.00859555820422,0.91214744808135,unweighted
2013,0.820342396420846,1.0073934982133,0.908569361427566,unweighted
2014,0.817879932712025,1.00768937073689,0.907450949289516,unweighted
2015,0.819191554933375,1.01364859815043,0.910939561461425,unweighted
2016,0.821309533544909,1.01850102142245,0.914177743333716,unweighted
2017,0.817058643228459,1.01490032416708,0.910174161231311,unweighted
2018,0.809349541982967,1.00714268252522,0.902980204925721,unweighted
2019,0.809308706925451,1.0070731699362,0.903117857718645,unweighted
2020,0.810760796260122,1.01100910194884,0.905392719501737,unweighted
2021,0.811820789318648,1.01616071396407,0.908447483937289,unweighted
2022,0.807546910039094,1.01562551884828,0.905549807677634,unweighted
1970,1,1,1,weighted
1971,1.00242064982026,1.04834622968549,1.02233430520865,weighted
1972,1.00475748229032,1.08293846477492,1.03742382199377,weighted
1973,0.996292688579569,1.10278995577141,1.03912844184792,weighted
1974,0.983764746826295,1.1136080292774,1.03367450718929,weighted
1975,0.971690955166774,1.1156998294426,1.02913327915132,weighted
1976,0.95369188737908706,1.10600023903232,1.01475455312304,weighted
1977,0.934162092699928,1.09734744873358,1.00041261595565,weighted
1978,0.929903891495351,1.09873949783847,0.997830714921074,weighted
1979,0.929963624190449,1.10599681155225,0.999857635777285,weighted
1980,0.932650928949617,1.11685192261128,1.0047962055806,weighted
1981,0.934427816055338,1.12892409848975,1.00953278901387,weighted
1982,0.927604466650623,1.13458277424999,1.00532217164962,weighted
1983,0.924240973538823,1.14330233818114,1.00492483974293,weighted
1984,0.92140177076128,1.15143883701053,1.00602370784315,weighted
1985,0.920063798588191,1.15420672039596,1.0068478109852,weighted
1986,0.913414114641824,1.15157158625985,1.00186452574708,weighted
1987,0.899401347755848,1.14016201970396,0.987858167265832,weighted
1988,0.888364181252464,1.13267050379166,0.975519313647987,weighted
1989,0.87361908688542,1.12065148589133,0.960614293423374,weighted
1990,0.863703918127655,1.11294016449486,0.952765405830567,weighted
1991,0.853207730665287,1.1044509861,0.944361900157052,weighted
1992,0.845037562593651,1.099377101519,0.938204512709235,weighted
1993,0.849025296888043,1.10906695153305,0.945428257861153,weighted
1994,0.862505943508299,1.13120720372864,0.962416881762943,weighted
1995,0.868243596496646,1.14444568044286,0.97122873479113,weighted
1996,0.876067196603065,1.15813951448592,0.980653287392771,weighted
1997,0.872713863074167,1.15695594374919,0.97700234842976,weighted
1998,0.857690578914592,1.14097976479226,0.961990870916278,weighted
1999,0.843492825810345,1.12391078712885,0.947975328097035,weighted
2000,0.832898248270125,1.11228162068768,0.938634688449449,weighted
2001,0.835450532069895,1.11747972299093,0.942304595693921,weighted
2002,0.835436773387293,1.12355837990333,0.942943339222604,weighted
2003,0.832148845546284,1.12831323943296,0.940995212894073,weighted
2004,0.830095269507742,1.13124843249021,0.939170940417386,weighted
2005,0.829246178231793,1.13492962213423,0.940255517463516,weighted
2006,0.826197088410801,1.13432751044904,0.937792269142935,weighted
2007,0.827225807979818,1.13875091224852,0.93950022762152,weighted
2008,0.824574246696265,1.13709835612077,0.936450724117454,weighted
2009,0.818425855646189,1.13105170132826,0.93097622252508,weighted
2010,0.81098905835181,1.12277858641158,0.923290580932799,weighted
2011,0.801834613260309,1.11387573893987,0.914520085970119,weighted
2012,0.790189014717574,1.10368437943939,0.90386414712058,weighted
2013,0.785229150284149,1.09864647216972,0.899904456127336,weighted
2014,0.781512280313454,1.09847124856555,0.897729053782008,weighted
2015,0.783230297035983,1.10517922827361,0.902059135511971,weighted
2016,0.787437680561602,1.1133155464847,0.907259474058629,weighted
2017,0.78345725870601,1.10821362545772,0.903673094528525,weighted
2018,0.767509532340254,1.08538234381372,0.887664644724865,weighted
2019,0.768864201989331,1.08277639305668,0.893444502712973,weighted
