"","Binomial","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Acanthis_flammea","Acanthis_flammea",52,1,-0.0176372487003442,-0.0175651256944467,-0.0174123796367914,-0.0171710434244218,-0.0168273126338081,-0.0163766306456691,-0.0158226347214679,-0.0151482031925579,-0.0143171271369903,-0.0133245566169965,-0.0122202337239402,-0.0110571359681917,-0.0098416886622591,-0.00856875496575549,-0.0072859499635406,-0.00607456570989628,-0.00496451374322171,-0.00391079806660233,-0.00286688613383823,-0.00184420277303832,-0.000879315181715801,2.30024879409596e-05,0.000881377366999447,0.00169408847710872,0.00243926816972018,0.00310932599420244,0.00371214781398965,0.004240396463983,0.00467085078356211,0.00499844302747054,0.00524288613886792,0.00541291451309855,0.00549006869384516,0.00546200218735693,0.00534927255122553,0.00518036419874524,0.00495850132966746,0.00467616101218782,0.00434861279199472,0.00400397949418618,0.00364380237732953,0.00324397790430087,0.00280318525101264,0.00236574759796215,0.00198095170949708,0.00165760170498863,0.00137881891111313,0.00114926384656788,0.000999251246009525,0.00093852144606732,0.000930644696047089,NA
"Acanthis_hornemanni","Acanthis_hornemanni",156,1,-0.0124718583355186,-0.0124629520708277,-0.0124248134838737,-0.0123251267194686,-0.0121375065129179,-0.0118577161102099,-0.0114947005759002,-0.0110453610501028,-0.0104917062841313,-0.00982783781453389,-0.00907656606365259,-0.00827180004781225,-0.00743751009188354,-0.00659378908417896,-0.00576795586965662,-0.00497971847896195,-0.00422154564059407,-0.00347269522944016,-0.00273067570436547,-0.00201158955171521,-0.0013215917672218,-0.000649838215938336,6.11279693651934e-06,0.000630049561120893,0.00121282529796474,0.00176826636490512,0.00230651603317511,0.00280697433950183,0.0032402438504433,0.0036104709804351,0.003954798081511,0.00430275621667142,0.00465576524404854,0.0050059880140283,0.00535110774975767,0.00568094097699334,0.00596951926669176,0.00619723646804271,0.0063701884049584,0.0065024985965374,0.00658807761181224,0.00660824015403649,0.00656555973917072,0.00649261661640432,0.00642227669981243,0.00636191847739054,0.00630373485113078,0.00624946909444712,0.00621269643043987,0.00619972193526008,0.00620006215485547,NA
"Accipiter_cooperii","Accipiter_cooperii",106,1,-0.00925700686392195,-0.00907497767183485,-0.00850474516666777,-0.00746133977840979,-0.00613186568743096,-0.00481519372648376,-0.00370577509594794,-0.0028743553016306,-0.00235165293029271,-0.00212170212538987,-0.00209099052348227,-0.00217940162535135,-0.00241152372547249,-0.00279890666297278,-0.00314278261039158,-0.00309880860892209,-0.00250243493759039,-0.0015487876478486,-0.000601379650423839,0.000102963211591423,0.000526510459000207,0.000738894517109401,0.000881367195831428,0.00116083057439975,0.00173158741452251,0.00257028112090207,0.00356115757603437,0.00469000000102815,0.00601462464524927,0.0074020955452212,0.00843523600688068,0.00870063020932133,0.00811934433234374,0.00691093395470133,0.00529799196162739,0.00337584605233276,0.00125710911881183,-0.000804103279965274,-0.00250629801058899,-0.00365683030949016,-0.00419325247653668,-0.00412208595339991,-0.0035113652375891,-0.00250984655116215,-0.00129887303803522,-2.43092309566428e-05,0.0011813926341615,0.0021319551090706,0.00263053287143378,0.0026352366696889,0.00235557108521234,0.00211896631245501
"Accipiter_gentilis","Accipiter_gentilis",53,1,0.00020872024077323,0.000203674410610644,0.000198887392535818,0.000202348012456666,0.000218648432644075,0.000247134005101124,0.000284812209771612,0.000328950756313562,0.000376569323171427,0.000423174823684036,0.000463914938732657,0.000496336426947019,0.000521198346144169,0.000540061737861475,0.000552319631323295,0.000554741408100412,0.000543489626261273,0.000516356885165825,0.000473934330403658,0.000420047638203469,0.000361342574770829,0.000304793214182641,0.000253244892701066,0.000202191450072275,0.000141475986555673,6.16603430285689e-05,-3.96562364681774e-05,-0.000156380081145269,-0.000278123979489342,-0.000397083837010426,-0.00051353412668087,-0.000636531091219528,-0.000778278686444311,-0.000944746210258751,-0.00112962415678686,-0.00131773633878884,-0.00149570508566987,-0.00165995485086357,-0.00181476983461382,-0.00196397026656059,-0.00210587300209997,-0.00223552342368816,-0.00234913564136896,-0.00244509545724103,-0.002522629203636,-0.00258227207468331,-0.00262774613504058,-0.00266508582902203,-0.0026983703055472,-0.00272678629591994,-0.0027465959475661,-0.0027557865455754
"Accipiter_striatus","Accipiter_striatus",106,1,0.0103739340000872,0.0103500203278928,0.0103379414807316,0.0104184686942672,0.0106852815881853,0.0111799316236385,0.0118451123553158,0.0125431114107657,0.0131293071733869,0.0135257429353979,0.0137471731283612,0.0138668639708261,0.0139460453863642,0.0139810569076713,0.0139166490440186,0.0137119611728778,0.0133859984621223,0.0129959271234601,0.0125858252571149,0.0121658487755463,0.0117175872680788,0.0111873760917147,0.0104847347428965,0.00953630615389378,0.00836603691351878,0.00709551035427736,0.00583790940651552,0.0046101333761499,0.00338043648080322,0.00218772575631099,0.00116422243872782,0.000418408158349592,-8.24038657623039e-05,-0.00049389976851022,-0.000970865009177757,-0.00157447377335762,-0.00228995966320289,-0.0031103516132025,-0.00408256796038708,-0.00525432917382473,-0.00656882736487541,-0.00783721868674858,-0.0088616328674731,-0.0095985960282674,-0.0101650699153868,-0.0106640481454692,-0.0110521814712512,-0.0112313581671644,-0.0112334546485282,-0.0112225617502824,-0.0112992068244917,-0.0113919630608801
"Aegolius_funereus","Aegolius_funereus",52,1,0.0223691902407947,0.0216441209378719,0.0225055070084155,0.026455189479941,0.0301247575723353,0.026193184706605,0.0108597857780978,-0.00986849636725939,-0.0241089229184658,-0.025203376504679,-0.0169593542878998,-0.00752157097248679,-0.0010574094632777,0.00296355552225941,0.00546577948340848,0.00626084313631187,0.0057661954700996,0.00529257384253023,0.00571396107421279,0.00766853973304388,0.0126494019372806,0.0223275548123338,0.0373450354427657,0.0576957015212441,0.0823868524002694,0.106960672004336,0.124176288091483,0.1306703887148,0.13016048602351,0.124455150899938,0.103337395648273,0.0525449495855209,-0.0246354195662162,-0.100488784729175,-0.143526444803184,-0.143457546270857,-0.113106070467618,-0.0718044687302532,-0.0336198465640868,-0.00690729810896323,0.00588275988070094,0.0101638553184644,0.0137865326812497,0.0171416793140895,0.0141451350481264,0.00439376079353976,-0.00294488847840284,-0.00110576757736973,0.00507623039662922,0.0073851171874546,0.00595037066329465,NA
"Aeronautes_saxatalis","Aeronautes_saxatalis",106,1,0.0390173868199319,0.0389385779263456,0.0387890490407521,0.0385866013216398,0.0383245917361135,0.0379736226666874,0.0375161754887741,0.0369664073339944,0.0363579511612533,0.0357198271300441,0.0350589038488023,0.0343511896150336,0.0335466850469525,0.0325972533122515,0.0314976591119008,0.0303047741917929,0.0291072228454443,0.0279594457319755,0.0268321160007822,0.0256263182551718,0.0242460225870722,0.0226629039073514,0.0209061228997163,0.0189876253649954,0.0168521381352533,0.0144179347052692,0.0116662060191591,0.0086779086856486,0.00558071141820243,0.00246548604236935,-0.000655097339248623,-0.0038273467697178,-0.00709374946329577,-0.0104174793224126,-0.0136563710529889,-0.0166439895813134,-0.0193256110220615,-0.0217909280837759,-0.0241370802166672,-0.0263250945792721,-0.0282353634433417,-0.0298647704506023,-0.0313851375497087,-0.0329500573108429,-0.034492706159103,-0.0357897117666959,-0.0367107308113199,-0.0373327598982123,-0.0378047247606317,-0.0381801088678926,-0.038424313012166,-0.0385262959863264
"Anser_albifrons","Anser_albifrons",80,1,NA,NA,NA,NA,NA,NA,0.0399266252130595,0.0397478666466782,0.0395202075382093,0.0393816615718832,0.0393205995760599,0.0393263673670514,0.0393989649448327,0.0395383923094235,0.0397446494608156,0.0400177363990055,0.0401167147197352,0.0389263963149444,0.0356173660989425,0.0303172089452479,0.0241727954166224,0.0187340549587898,0.0149955614997515,0.0129295503272138,0.011911599557771,0.0114974661595353,0.0116914499253422,0.0125448087391842,0.0137507041227876,0.0148286228326864,0.0156586401567695,0.0166308067996512,0.0181377755756538,0.0199500201076326,0.0211715746490606,0.0208392899205743,0.0185893922114388,0.0148403099109196,0.0104521400441886,0.00620435933798991,0.00242609734761601,-0.00106421074988639,-0.00469879766525949,-0.00873222022117304,-0.0129746397576591,-0.0169636378011297,-0.0204415930298119,-0.0236116939549671,-0.026806436838628,-0.0298680798972732,-0.0321460425738351,-0.0334166540899901
"Anser_caerulescens","Anser_caerulescens",156,1,-0.0214337984695736,-0.0213151535488953,-0.0209858609585287,-0.020411803433361,-0.019666437161748,-0.0188365427253941,-0.0179117644436134,-0.0167986448022494,-0.0154235711190389,-0.0137757118323271,-0.0118497280875778,-0.00959962740975284,-0.00698721689513807,-0.00405857639380849,-0.000929227510683112,0.00233285429791924,0.00581036982949984,0.00970562562616992,0.0141702865099416,0.0191198332942482,0.0241879737206823,0.0288737090633343,0.0327789995746224,0.0357699463104626,0.0379738635052375,0.0396562628259208,0.0410852653414991,0.0424643367862339,0.0439463476561178,0.0456744119752975,0.0477700336250799,0.050251573239509,0.0529730860985062,0.0556851951252822,0.0581873066071878,0.0604254068279998,0.0624552580565668,0.0643467593505587,0.0661342809778067,0.0678115174055642,0.0693225882463764,0.0705714198159386,0.0714919507807212,0.0721208973513716,0.0725701412981921,0.0729221620165876,0.0731856359503602,0.0733562306054769,0.0734689447967616,0.0735596975157105,0.0736176154439452,NA
"Anser_rossii","Anser_rossii",96,1,NA,NA,NA,NA,NA,NA,NA,0.0989031810064187,0.10222847051284,0.104653254716326,0.105121084914514,0.103631961107438,0.100185883295054,0.0947828514774001,0.0874228656544611,0.0781059258262449,0.066832031992738,0.0536011841539565,0.0384133823098827,0.0232710661681059,0.0172811382643419,0.0264512803619139,0.0484831811493383,0.0755450120510748,0.103627778239384,0.123407478995333,0.129791174574056,0.123348517474576,0.10988028724435,0.0927120858447719,0.0713034738595191,0.0465981132754614,0.0246314503064617,0.0127256603418742,0.0123375014744322,0.01742046612795,0.0207338766256235,0.0208429696641454,0.0217050706359165,0.0257593685594424,0.0291891958888799,0.0251875753828736,0.0113889111284156,-0.00718169993052165,-0.0229671723366884,-0.0331780803214805,-0.0419613142190762,-0.0556851721585385,-0.0762808978981289,-0.0985535157026822,-0.114564389293144,-0.122569826088396
