Binomial	ID	year	popvalue
Mimus_polyglottos	4255	1970	0.009247147
Setophaga_americana	4256	1970	0.525
Anas_acuta	4257	1970	4320934
Glaucidium_gnoma	4258	1970	5.4012384
Stelgidopteryx_serripennis	4259	1970	1.27
Aegolius_acadicus	4260	1970	32.841866
Spatula_clypeata	4261	1970	1365217
Lanius_borealis	4262	1970	15.299496
Parkesia_noveboracensis	4263	1970	4.24
Haliaeetus_leucocephalus	4264	1970	0.0241
Contopus_cooperi	4265	1970	2.48
Leiothlypis_celata	4266	1970	3.58
Icterus_spurius	4267	1970	0.023
Pandion_haliaetus	4268	1970	0.0624
Seiurus_aurocapilla	4269	1970	7.94
Gavia_pacifica	4270	1970	37.654476
Troglodytes_pacificus	4271	1970	2.8
Empidonax_difficilis	4272	1970	1.86
Setophaga_palmarum	4273	1970	1.47
Icterus_galbula	4275	1970	2.29
Urile_pelagicus	4276	1970	9.73261
Falco_peregrinus	4277	1970	9.575838
Vireo_philadelphicus	4278	1970	0.571
Podilymbus_podiceps	4279	1970	0.341
Cepphus_columba	4280	1970	7.098375
Dryocopus_pileatus	4281	1970	0.183
Pinicola_enucleator	4282	1970	25.184265
Spinus_pinus	4283	1970	7.16
Setophaga_pinus	4284	1970	0.15
Patagioenas_fasciata	4286	1970	12.2
Falco_mexicanus	4287	1970	0.011
Haemorhous_purpureus	4288	1970	1.18
Progne_subis	4289	1970	0.828
Calidris_maritima	4290	1970	44.041897
Sitta_pygmaea	4291	1970	0.477
Alca_torda	4292	1970	17289.451
Loxia_curvirostra	4293	1970	0.653
Melanerpes_carolinus	4295	1970	0.00595
Mergus_serrator	4296	1970	46.778767
Riparia_riparia	4297	1970	22.4
Sitta_canadensis	4298	1970	0.747
Sphyrapicus_ruber	4299	1970	0.818
Vireo_olivaceus	4300	1970	10.1
Aythya_americana	4301	1970	413110
Melanerpes_erythrocephalus	4302	1970	0.2
Sphyrapicus_nuchalis	4303	1970	0.833
Podiceps_grisegena	4304	1970	9.855303
Buteo_lineatus	4305	1970	0.0221
Buteo_jamaicensis	4306	1970	0.344
Gavia_stellata	4307	1970	37.50127
Tyto_alba	4308	1970	0.434675
Agelaius_phoeniceus	4309	1970	16.7
Larus_delawarensis	4311	1970	2.26
Aythya_collaris	4312	1970	4.402198
Calidris_ptilocnemis	4313	1970	0.0776921
Salpinctes_obsoletus	4314	1970	0.0144
Pheucticus_ludovicianus	4315	1970	1.36
Buteo_lagopus	4316	1970	24.49333
Corthylio_calendula	4317	1970	17.199675
Archilochus_colubris	4318	1970	0.0888
Hirundo_rustica	4319	1970	9.77
Oxyura_jamaicensis	4320	1970	202364
Bonasa_umbellus	4322	1970	0.665
Selasphorus_rufus	4323	1970	3.22
Euphagus_carolinus	4324	1970	44.780514
Antigone_canadensis	4326	1970	0.164
Passerculus_sandwichensis	4327	1970	18
Sayornis_saya	4328	1970	0.0525
Piranga_olivacea	4329	1970	0.322
Botaurus_lentiginosus	4330	1970	0.821
Strix_varia	4331	1970	0.0109
Cistothorus_stellaris	4332	1970	0.62
Accipiter_striatus	4335	1970	0.0128
Tympanuchus_phasianellus	4336	1970	0.386
Asio_flammeus	4338	1970	37.023205
Calcarius_pictus	4339	1970	5.4562945
Plectrophenax_nivalis	4340	1970	8.600945
Bubo_scandiacus	4341	1970	24.131979
Bucephala_islandica	4342	1970	17.013067
Tringa_solitaria	4343	1970	0.408
Melospiza_melodia	4344	1970	10.2
Dendragapus_fuliginosus	4345	1970	1.36
Porzana_carolina	4346	1970	1.17
Actitis_macularius	4347	1970	1.44
Pipilo_maculatus	4348	1970	2.38
Anthus_spragueii	4349	1970	6.47
Canachites_canadensis	4350	1970	11.552876
Cyanocitta_stelleri	4351	1970	0.966
Setophaga_castanea	4353	1970	1.33
Melanitta_perspicillata	4354	1970	84.279465
Calidris_virgata	4355	1970	24.928144
Buteo_swainsoni	4356	1970	0.649
Catharus_ustulatus	4357	1970	21.2
Melospiza_georgiana	4358	1970	1.19
Leiothlypis_peregrina	4359	1970	13.6
Rhynchophanes_mccownii	4360	1970	26.8
Uria_lomvia	4361	1970	1163497.6
Myadestes_townsendi	4362	1970	0.303
Setophaga_townsendi	4363	1970	2.68
Megaceryle_alcyon	4364	1970	0.338
Tachycineta_bicolor	4365	1970	5.92
Cygnus_buccinator	4366	1970	0.0149
Baeolophus_bicolor	4368	1970	0.000615
Cygnus_columbianus	4369	1970	8.560472
Cathartes_aura	4370	1970	0.0113
Bartramia_longicauda	4371	1970	0.456
Ixoreus_naevius	4372	1970	3.05
Chaetura_vauxi	4373	1970	0.492
Catharus_fuscescens	4374	1970	4.72
Thryomanes_bewickii	4375	1970	4.25
Pooecetes_gramineus	4376	1970	11.3
