"","LPI_final","CI_low","CI_high","year"
"1970",1,1,1,1970
"1971",1.01118290785516,1.00054321407537,1.02219525201317,1971
"1972",1.01922712732516,1.00479617496594,1.0336878364015,1972
"1973",1.02193515267882,1.00462701090064,1.03910959065825,1973
"1974",1.02131133369986,1.0015781063725,1.04103806616859,1974
"1975",1.01780795284564,0.996455496891756,1.03934697205711,1975
"1976",1.01286016801207,0.989881645481818,1.03592606641691,1976
"1977",1.00674268190502,0.981866379056585,1.03181396780462,1977
"1978",1.00523571995553,0.979419213595249,1.03205834553588,1978
"1979",1.00828072816334,0.981999501661803,1.03582081412841,1979
"1980",1.0154750970836,0.98780084255909,1.04397376531495,1980
"1981",1.02203760931759,0.993225976562471,1.05200745982823,1981
"1982",1.02514849779249,0.994965777618242,1.05628475787779,1982
"1983",1.02736578088284,0.996367637737861,1.06053848512264,1983
"1984",1.0307250545422,0.998260501939925,1.06478747654672,1984
"1985",1.03398846661225,1.00106082814284,1.06844841693148,1985
"1986",1.03458266467162,1.00081675300533,1.07047169518226,1986
"1987",1.03250899548266,0.997979576038898,1.06945572279924,1987
"1988",1.03361696413571,0.997479226113254,1.07097519245494,1988
"1989",1.03272014429657,0.99591344816697,1.07165140636873,1989
"1990",1.03057044959436,0.992881812498239,1.07029183269621,1990
"1991",1.0250957923415,0.986966529195475,1.06490793476099,1991
"1992",1.02025770097933,0.981524200820813,1.06091370734458,1992
"1993",1.02397002002851,0.983368725553002,1.06635580901705,1993
"1994",1.03254946243297,0.990556674361635,1.07703913544513,1994
"1995",1.03609114459396,0.993007816210471,1.08216842522321,1995
"1996",1.04284350437216,0.998595308082175,1.08996804345048,1996
"1997",1.04367382168654,0.997991473075803,1.09229292390022,1997
"1998",1.03420741063451,0.98795364585036,1.08348636628317,1998
"1999",1.02105434623095,0.974051884419421,1.07109395457715,1999
"2000",1.01272295659135,0.965483286556263,1.06266512016957,2000
"2001",1.00708623907246,0.959195885873989,1.05770185755402,2001
"2002",1.00299894091836,0.955074407391038,1.05453147377572,2002
"2003",0.999521901758039,0.951462403552632,1.0505351008251,2003
"2004",1.00047395052606,0.95189051195652,1.05325159968017,2004
"2005",1.00525372209058,0.955474845468455,1.05885937445694,2005
"2006",1.00753722911312,0.957336893233531,1.06194085493314,2006
"2007",1.0101515140789,0.958976664320633,1.06518814899276,2007
"2008",1.00767755242232,0.95696337792987,1.06278397300732,2008
"2009",1.00328490923545,0.952351541962846,1.05796724941825,2009
"2010",1.00017480468455,0.948398337503446,1.05535596878375,2010
"2011",0.998517195090904,0.946808134346055,1.05464017802959,2011
"2012",0.996520407783264,0.944316436629992,1.05254082553369,2012
"2013",0.996929807083513,0.944511813515007,1.05346303797467,2013
"2014",1.00018008528834,0.947042871272004,1.05769551764602,2014
"2015",1.00585792910539,0.951883313855992,1.06414730172626,2015
"2016",1.01022345044565,0.955102206298169,1.06905150701955,2016
"2017",1.00636710853275,0.951339844466602,1.06555831373182,2017
"2018",0.999762129442775,0.944254998663084,1.05964574076393,2018
"2019",1.0000762879578,0.943898301680738,1.06056715972877,2019
"2020",1.00268387158817,0.945711947049688,1.06350629795246,2020
"2021",1.00647328484223,0.949205002160033,1.06777839200719,2021
"2022",1.00551096005689,0.94626893742363,1.06904441863172,2022
