"LPI_final" "CI_low" "CI_high"
"1970" 1 1 1
"1971" 1.01686638610087 1.00779593347991 1.02691663774209
"1972" 1.03552978268987 1.02285877159836 1.04950935548818
"1973" 1.05176857171423 1.0364271383513 1.0688493364076
"1974" 1.06624516981212 1.04822778451417 1.08570723555382
"1975" 1.0783168075148 1.05801081762395 1.09994177557832
"1976" 1.08592328148819 1.06366979270393 1.10950862791251
"1977" 1.09199809366273 1.06772592307468 1.11797362173279
"1978" 1.10069914277977 1.07465088866771 1.12863964734004
"1979" 1.11395550957704 1.08645940223687 1.14368783499315
"1980" 1.1309445966701 1.10225162843763 1.16198457433135
"1981" 1.14875463219914 1.11857429686125 1.18157202298673
"1982" 1.16337883703114 1.13054304998615 1.19878078111639
"1983" 1.17842803087255 1.14329181465525 1.21678056320045
"1984" 1.19568145944257 1.15835954121479 1.23602878351899
"1985" 1.21266602967666 1.17446199901186 1.25434996814352
"1986" 1.23046812909384 1.19091260469584 1.27364850435672
"1987" 1.24354207999002 1.20302188614502 1.2879983574866
"1988" 1.25894306908225 1.21711874777392 1.30458403373491
"1989" 1.27323202711827 1.23011037704656 1.32108500052319
"1990" 1.28633859254649 1.24201353920105 1.33527785483472
"1991" 1.29693167722856 1.25152847250293 1.34676806712004
"1992" 1.30780296355147 1.26083306140613 1.35873151435595
"1993" 1.32786011894512 1.2774176740383 1.38222571511082
"1994" 1.35321958485778 1.29985339289584 1.41141398444092
"1995" 1.37014192177653 1.31421719293901 1.43014107531829
"1996" 1.3901871816108 1.33234937506422 1.45328108975663
"1997" 1.40238949481194 1.34236693027527 1.46752267852539
"1998" 1.40636720621415 1.34535577737717 1.47385156574603
"1999" 1.40576023946047 1.34303888900822 1.47403700508904
"2000" 1.41196062436206 1.34812985336188 1.48152830165264
"2001" 1.4223595058562 1.35662738202988 1.49332063980294
"2002" 1.4332349644428 1.36621776392871 1.5055376769447
"2003" 1.44292734894241 1.37413695713331 1.51715242646637
"2004" 1.45682247050089 1.38658535628649 1.53349615381403
"2005" 1.48108831922694 1.40840143027049 1.56114945147924
"2006" 1.50534809889836 1.43113809498947 1.58653537401045
"2007" 1.53108642227685 1.45466880827247 1.61379868089576
"2008" 1.55167964651875 1.47404277599735 1.63593035122241
"2009" 1.56919914200869 1.48973709710695 1.6553793948241
"2010" 1.59054599950781 1.50915106769489 1.67873732821814
"2011" 1.6151227057256 1.53266428016501 1.70591035324251
"2012" 1.63898807090184 1.55518310951665 1.73146468925359
"2013" 1.66318018317134 1.57651968432334 1.75753184737395
"2014" 1.69225882002061 1.60379441089162 1.78755327939342
"2015" 1.72288625649677 1.6321778382283 1.82128045013972
"2016" 1.74556832889888 1.65319550868289 1.84692484413269
"2017" 1.75099741476899 1.65698216104975 1.8534910442833
"2018" 1.75316204730861 1.65794174909456 1.8555345427914
"2019" 1.76783950894515 1.67133971658544 1.87211993399103
"2020" 1.78969685085713 1.69068547679649 1.89642620867932
"2021" 1.81793425198776 1.71613895488342 1.92698590215556
"2022" 1.85339783377988 1.74820641748049 1.96528667865483
"2023" 1.85339783377988 1.74820641748049 1.96528667865483
