"","year","Lower_CI","Upper_CI","mean_lpi","Index"
"1",1970,1,1,1,1
"2",1971,1.00025099828785,1.0174608909357,1.00888897805957,1.00888784525276
"3",1972,0.999171984911408,1.03105009263433,1.01495493707457,1.01493976307082
"4",1973,0.993427608651783,1.03893267331074,1.01582844043583,1.01578842604301
"5",1974,0.984622784711427,1.04134246192702,1.01247581609983,1.01241683486194
"6",1975,0.979037090358763,1.04519867820896,1.01113785697561,1.0110805131137
"7",1976,0.973361856347061,1.04550627198096,1.00829485668467,1.00821612274597
"8",1977,0.966369541712338,1.04482741498494,1.0043470832821,1.00424274797307
"9",1978,0.963729984894054,1.04732292274575,1.00421298422221,1.00406769078146
"10",1979,0.965503598592404,1.052946173962,1.00766447855382,1.00745632194196
"11",1980,0.96991754378092,1.06164302701758,1.0142643727537,1.01397168755729
"12",1981,0.973189968817416,1.06922723331958,1.01967427516074,1.01928558885826
"13",1982,0.969900421148842,1.07043475485632,1.01906438806205,1.01864817752673
"14",1983,0.966174643346971,1.073292177185,1.01846963651256,1.01804113083699
"15",1984,0.96610056286615,1.07848113902608,1.02076989347023,1.02030816251368
"16",1985,0.967025735580342,1.08381921897895,1.02413543987897,1.02362034149713
"17",1986,0.965609506853987,1.08561331615457,1.02411681207638,1.02354744555085
"18",1987,0.960594976892136,1.08350512367707,1.02065261895746,1.02004087240003
"19",1988,0.957826345878962,1.08320519193524,1.01912223606681,1.01846123120709
"20",1989,0.954057094135341,1.08280468174351,1.0164607648385,1.01572799401615
"21",1990,0.950815103480397,1.08309498346561,1.01461458670216,1.01380139385394
"22",1991,0.943502851509306,1.07983543961441,1.00978589680268,1.00889612399761
"23",1992,0.93715866241813,1.07808442549819,1.00539880617572,1.0044381052363
"24",1993,0.939984734386452,1.08377709578694,1.00970246921729,1.00869895126007
"25",1994,0.945977983605117,1.09518776790142,1.01884304226059,1.01787505865326
"26",1995,0.94748421529828,1.10129338643003,1.02286272229119,1.02192634648503
"27",1996,0.952325702302278,1.10931018994779,1.02944785425671,1.02849721692602
"28",1997,0.952587533452081,1.11154887957107,1.03011710394825,1.02909847607986
"29",1998,0.942540469844134,1.10453454037755,1.02136443250281,1.02028109015221
"30",1999,0.930931952688375,1.09510488572768,1.0106541193184,1.0095199217822
"31",2000,0.922119057333557,1.08960076080843,1.00354317326041,1.00242086268841
"32",2001,0.914842776038104,1.08618718523545,0.998313372681988,0.997207824089998
"33",2002,0.908414198182765,1.08303495795213,0.993388259320037,0.992243074440267
"34",2003,0.903604385106,1.08115026013707,0.989214763337376,0.987994117703974
"35",2004,0.90163642060472,1.08119943612754,0.9883345474868,0.987036543162223
"36",2005,0.90429372272751,1.08693691782349,0.992679175407738,0.991289128272758
"37",2006,0.904561023596617,1.09026118243509,0.994560244993078,0.993105589135151
"38",2007,0.906109546002381,1.09527581361249,0.997498401597062,0.995975541311996
"39",2008,0.903171777639878,1.09471519320989,0.995334909116056,0.993754431245748
"40",2009,0.897545086208417,1.09175220664764,0.991395847795984,0.98977929852544
"41",2010,0.893406879856323,1.0913486143645,0.988519289422632,0.986877543893676
"42",2011,0.890653568415577,1.09139192863805,0.98711024118434,0.985461262671353
"43",2012,0.887371115706105,1.09141377599093,0.985441297571361,0.983793230162387
"44",2013,0.887070168400026,1.09433300435784,0.9866798426697,0.985016115963267
"45",2014,0.88881844973196,1.09999405126857,0.990009597557571,0.988315078564094
"46",2015,0.89306066092233,1.10876414281884,0.996039435351053,0.994301026749056
"47",2016,0.896270063795399,1.11586187770489,1.00092330562082,0.999125481521323
"48",2017,0.893284612230028,1.11380349357023,0.998267792317352,0.99645117467561
"49",2018,0.888392674640715,1.10901597769324,0.99364597348143,0.991799754235181
"50",2019,0.891135270996705,1.11377167838239,0.997239222423714,0.995372599333085
"51",2020,0.895456015126093,1.12347192126235,1.0038063679504,1.00190600554891
"52",2021,0.900239521527827,1.13360624436185,1.01094739947827,1.00896903865799
"53",2022,0.899671617728668,1.13848348917998,1.01365356785293,1.01151019163626
