"LPI_final" "CI_low" "CI_high"
"1970" 1 1 1
"1971" 1.0130834751828 1.0038038870647 1.0232733717245
"1972" 1.02475642786132 1.01184955860927 1.03849417925414
"1973" 1.03280769790096 1.01727659138912 1.04900963251507
"1974" 1.03960309352222 1.02146490356702 1.05837871246863
"1975" 1.0443077295419 1.02424121108153 1.06534946896446
"1976" 1.04561921758787 1.02400907405222 1.06859345053007
"1977" 1.04523068205784 1.02164375990921 1.0699277596519
"1978" 1.04788413287213 1.02251573881793 1.07391309601251
"1979" 1.05520107797579 1.02861935803423 1.08227110718758
"1980" 1.0664971058396 1.039175205437 1.09472313796807
"1981" 1.07811034231041 1.04957913271417 1.1083066798164
"1982" 1.08715036078337 1.0568790442778 1.11896166821219
"1983" 1.09606607845782 1.06391182547415 1.12970087048918
"1984" 1.10615144807103 1.07225413468781 1.14139474947294
"1985" 1.11531550820397 1.08110661517489 1.15147721142786
"1986" 1.12367469144428 1.0876386433916 1.16110792207006
"1987" 1.12823766523223 1.09162954141364 1.1666752363272
"1988" 1.13497215434511 1.09728000897433 1.1746771732474
"1989" 1.14044087575968 1.10187395182055 1.18092942405365
"1990" 1.14427182762238 1.10484160859984 1.18560938765839
"1991" 1.143480418069 1.10297611896572 1.18597852257143
"1992" 1.14360234201608 1.10176442936219 1.18764992498522
"1993" 1.15404611527994 1.11085506614789 1.20026560472905
"1994" 1.16907313758792 1.12316364896656 1.21811413131957
"1995" 1.17728905648929 1.12975214451133 1.22751227738776
"1996" 1.18741838356786 1.13827375028152 1.24010391830409
"1997" 1.19021543654229 1.13927084649782 1.24391586796207
"1998" 1.18211689333359 1.12976691570079 1.23782928630293
"1999" 1.170613200922 1.11759014696386 1.22663189916809
"2000" 1.16652104264797 1.11332428005446 1.22344279267887
"2001" 1.1661017390906 1.11301746280193 1.22472040630103
"2002" 1.1672968021709 1.11272438364813 1.22613034481602
"2003" 1.16840733138827 1.11248000343864 1.22844795425782
"2004" 1.17364342895389 1.11685975229455 1.23472324089378
"2005" 1.18543641163056 1.12780365813157 1.24791887171284
"2006" 1.19631722319649 1.13808320998519 1.25999248646496
"2007" 1.20824041426621 1.14910702179534 1.27308095062589
"2008" 1.21439253488044 1.15500098811203 1.27982702803199
"2009" 1.21814208006763 1.1573747784236 1.28385361118383
"2010" 1.22333095813509 1.1612613026294 1.28945008291985
"2011" 1.23000273672548 1.16804635208113 1.29727971635077
"2012" 1.23622364341983 1.17386355370133 1.30402047990615
"2013" 1.24472324924236 1.18059243919426 1.31324029469242
"2014" 1.25590335364281 1.19068083479926 1.32604307043188
"2015" 1.26900103154335 1.20205427311821 1.34051600216153
"2016" 1.27852832227301 1.2108642395507 1.35088487258968
"2017" 1.27828021924648 1.20995162984503 1.35112489910347
"2018" 1.27801463556536 1.2094676568132 1.35117667560606
"2019" 1.28625250827633 1.21676696765887 1.36113516253693
"2020" 1.29824993830574 1.22705437113889 1.37505340972092
"2021" 1.31254133224114 1.24021729756849 1.39105284251499
"2022" 1.32402171491067 1.25002768951884 1.40517960506541
"2023" 1.32402171491067 1.25002768951884 1.40517960506541
