"LPI_final" "CI_low" "CI_high"
"1970" 1 1 1
"1971" 1.01995050182232 1.01027591782753 1.03039772681669
"1972" 1.03486568016313 1.02155957798805 1.04849985528842
"1973" 1.04219628336946 1.02596029998744 1.0587124797762
"1974" 1.04875479684337 1.03095130383123 1.06685890647989
"1975" 1.05602167003736 1.03707936130464 1.07575252084642
"1976" 1.0602570671378 1.03964148502027 1.08191133480497
"1977" 1.06091820383186 1.03854095898386 1.08407600015955
"1978" 1.06117822554856 1.03752978453604 1.08524363859154
"1979" 1.06551079098546 1.04104302700909 1.09073476293252
"1980" 1.07211534361046 1.04620267909725 1.09914956116274
"1981" 1.0768574390165 1.0497307563949 1.10475059270273
"1982" 1.078078721744 1.0503672683902 1.10707050987417
"1983" 1.07928336756531 1.05021217969567 1.10939291762291
"1984" 1.08207674955809 1.05196570013857 1.11274612102545
"1985" 1.08656198169168 1.0557767830835 1.11804756148415
"1986" 1.09078278861725 1.05908693290481 1.12323219374609
"1987" 1.09285304107505 1.06070920546668 1.12614388624024
"1988" 1.0941220691066 1.0612199133368 1.12896327599655
"1989" 1.09463248598868 1.06068558176496 1.12979284061437
"1990" 1.09589481405187 1.06065899134138 1.1319541064949
"1991" 1.09411448389464 1.05837535401442 1.13086771076459
"1992" 1.09107315886593 1.05414513653018 1.12925230676668
"1993" 1.09391098233161 1.05600383493536 1.13276815101387
"1994" 1.09841831253158 1.05897381106045 1.13904242627634
"1995" 1.10218636947389 1.0605022308162 1.14406198770237
"1996" 1.10714629927858 1.06502135063395 1.14988856179985
"1997" 1.10856286903874 1.06521491812064 1.15198307129983
"1998" 1.10304732481183 1.05893738262866 1.14852987039745
"1999" 1.09316311129428 1.04855773438626 1.13940421017136
"2000" 1.08631530208458 1.04092945356298 1.13296377432851
"2001" 1.08132094148379 1.03494068021938 1.12872582334743
"2002" 1.07801927531157 1.03125654425396 1.12621772440578
"2003" 1.07756197057762 1.02955149370011 1.12677645936103
"2004" 1.08199833773032 1.03369083845036 1.13160526940901
"2005" 1.09206228787598 1.0428605091246 1.14335892093029
"2006" 1.10172620842359 1.05158482344056 1.15394346808879
"2007" 1.10509769661032 1.05459858628645 1.15843037643456
"2008" 1.10233988035941 1.05099892372349 1.15533460378444
"2009" 1.09769164914977 1.04598782963715 1.15109881617358
"2010" 1.09447518445515 1.04282578597019 1.14833410102633
"2011" 1.09315483375514 1.04065749569001 1.14727934920994
"2012" 1.09301809285482 1.04031678395801 1.14744551543573
"2013" 1.09356019867185 1.04039090714069 1.14795517209002
"2014" 1.09562114620954 1.04242523308841 1.15035991723698
"2015" 1.09861935847332 1.04514050534827 1.1535637925583
"2016" 1.09823752052983 1.0445748186257 1.15403702411926
"2017" 1.09363625419137 1.04042057616081 1.14973616207746
"2018" 1.08488050584203 1.03135937384955 1.14120225757716
"2019" 1.08366004910302 1.02946256604207 1.1400091776178
"2020" 1.08521397389619 1.02974525877772 1.14227049781587
"2021" 1.08706632033131 1.03064292239197 1.14547894903094
"2022" 1.08412282557593 1.02566781652561 1.14366394118191
"2023" 1.08412282557593 1.02566781652561 1.14366394118191
