"","CI_high","CI_low","LPI_final","period"
"1970",1,1,1,5
"1971",1.01684536115374,0.999667638791048,1.00825462863044,5
"1972",1.02968276126431,0.997986842307608,1.01380568400184,5
"1973",1.03759310978922,0.992298147490265,1.01450659904257,5
"1974",1.04029289146188,0.983358637635343,1.01116739149267,5
"1975",1.04393844845029,0.977127436297924,1.00965359868401,5
"1976",1.04516826867888,0.971197288123279,1.00728261750669,5
"1977",1.04297410453426,0.96248548395726,1.00150457220293,5
"1978",1.04194276059037,0.957728907710039,0.998894234314925,5
"1979",1.04547182391948,0.957422425947994,1.00054771292413,5
"1980",1.05245763946012,0.960412412923836,1.00527050401569,5
"1981",1.05828770079907,0.961718212805967,1.00882461391197,5
"1982",1.06111800434818,0.959821149294297,1.00925113697742,5
"1983",1.0632362983806,0.957484437570408,1.00914185814108,5
"1984",1.06779789407749,0.956671728740762,1.01086360114529,5
"1985",1.07365514053008,0.958407850078235,1.0147698249215,5
"1986",1.07540118421219,0.957699548764604,1.01536377380641,5
"1987",1.07362018274286,0.952862382494207,1.0119794246427,5
"1988",1.07372750586075,0.950071310924906,1.010276323882,5
"1989",1.07276316161756,0.945699821764712,1.00750250231842,5
"1990",1.07281249025285,0.941697319309442,1.00511296209356,5
"1991",1.07082242308459,0.935892897526914,1.00130831051984,5
"1992",1.06930743701168,0.930003985929514,0.997498013082315,5
"1993",1.07412371340282,0.931249973278967,1.00032234321793,5
"1994",1.08282487328582,0.93600371255839,1.00659100117144,5
"1995",1.08764963633691,0.93772831249143,1.00998748700659,5
"1996",1.09179597703744,0.93933777493311,1.01283351254637,5
"1997",1.09095051796164,0.935552255793523,1.01052297851929,5
"1998",1.08339266277786,0.926264072580646,1.00174656867825,5
"1999",1.07495166030238,0.915276184476293,0.991866891950243,5
"2000",1.06851076202144,0.904708926609555,0.98308441131999,5
"2001",1.06523477864165,0.897440588467143,0.977570496627417,5
"2002",1.06257571719991,0.890729091470428,0.972741604700802,5
"2003",1.05832127243121,0.884109210416369,0.96757535301579,5
"2004",1.05836940230342,0.882419037147534,0.96658219105168,5
"2005",1.06152080425588,0.884452500792737,0.969314959613737,5
"2006",1.06456707166973,0.884421290329104,0.970407858705956,5
"2007",1.06779329693744,0.884736973321046,0.972149953497442,5
"2008",1.06617193943536,0.880850311651079,0.969242062705174,5
"2009",1.06384787035274,0.875935881267078,0.965679470337796,5
"2010",1.06314184299571,0.871593983491625,0.96264742736023,5
"2011",1.06454967439166,0.869067315708756,0.961493373164864,5
"2012",1.06522287991736,0.865643715670876,0.95986818142244,5
"2013",1.06563481127639,0.862126205926367,0.958063733688078,5
"2014",1.06805351089087,0.861303691012818,0.9588631322731,5
"2015",1.07182263304879,0.861422526658231,0.960982281909748,5
"2016",1.0766016547255,0.863016602689919,0.963505113824119,5
"2017",1.07638182185339,0.861046992017954,0.962024266048066,5
"2018",1.07257263997102,0.856106009142244,0.957633616159643,5
"2019",1.07845456183636,0.858475556844778,0.961520336094548,5
"2020",1.0858704059138,0.863186323144501,0.968067061357325,5
"2021",1.0944337321366,0.867216781051463,0.974645987880992,5
"2022",1.0986270328335,0.867092718290477,0.976429023594543,5
"19701",1,1,1,10
"19711",1.02311155068216,1.00849151643161,1.01606094198682,10
"19721",1.04139769841385,1.01516019759458,1.02859318147129,10
"19731",1.0530878242044,1.01627532312833,1.0348567907533,10
"19741",1.06491858840717,1.01931242800903,1.0420868287461,10
"19751",1.07598025840742,1.02275963025389,1.04962970424165,10
"19761",1.08265316077243,1.02342346776891,1.05332692567534,10
"19771",1.08468634623778,1.01929365343869,1.05245260296625,10
"19781",1.08624662205057,1.01486771929562,1.05072062319392,10
"19791",1.09241450218637,1.01553054924118,1.05393931741372,10
"19801",1.10106298043205,1.01901003192329,1.05986222823457,10
"19811",1.10743920864028,1.02073955568007,1.06396281069504,10
"19821",1.11011717336093,1.01915045556568,1.06429808286221,10
"19831",1.11254437852019,1.01659999847583,1.06384749176945,10
"19841",1.11741610120369,1.01635836850563,1.06584045855626,10
"19851",1.12443951809045,1.01905137642486,1.07052016623805,10
"19861",1.13184094757042,1.02216749902288,1.07536448983947,10
"19871",1.1357137933621,1.02279488766821,1.07761995422057,10
"19881",1.13863743984757,1.02288231062076,1.0787792881705,10
"19891",1.14116165025217,1.02229222903489,1.07914143126255,10
"19901",1.14434708603476,1.02147895407712,1.08003330778156,10
"19911",1.14516414870628,1.01822127214687,1.07866149463948,10
"19921",1.14649797593156,1.01434145867139,1.07721916664436,10
"19931",1.15478199340426,1.01585668359613,1.08217040305667,10
"19941",1.16788150314801,1.02257882719136,1.09213957784739,10
"19951",1.1767403435522,1.02497126550307,1.09763203216133,10
"19961",1.18411929329688,1.02665642615777,1.10221369535165,10
"19971",1.18503917199567,1.02506909698447,1.10156530241589,10
"19981",1.17676377652097,1.01637310442968,1.09337462337587,10
"19991",1.16613448128178,1.0042249489104,1.08202710107348,10
"20001",1.16038984626789,0.996249616324007,1.07435141648319,10
"20011",1.15891901085701,0.990721128151855,1.0702970319708,10
"20021",1.1590821429844,0.986900784029217,1.06826043218104,10
"20031",1.15908390559949,0.984010669734396,1.06721451746675,10
"20041",1.16038783219237,0.983769307661419,1.06762128903965,10
"20051",1.16830060299755,0.987422051836605,1.07336235369587,10
"20061",1.17491491182852,0.990806038265942,1.07848476801284,10
"20071",1.18071946789673,0.992461311057038,1.08212200337335,10
"20081",1.1808780278213,0.989260131788746,1.08063927910393,10
"20091",1.18011766323765,0.98502052639768,1.0780612310193,10
"20101",1.17974923431484,0.981363934295172,1.0761292655026,10
"20111",1.18179301721114,0.978868618058793,1.07571274326578,10
"20121",1.1856400794561,0.97761885803688,1.07662623225066,10
"20131",1.18938550981103,0.976582594216592,1.07759383953402,10
"20141",1.19560829435776,0.978276526095425,1.08150162639299,10
"20151",1.20359186796945,0.981869702202955,1.08725904475082,10
"20161",1.20985621219734,0.983789295501158,1.09141055764964,10
"20171",1.2088484479648,0.981539082697407,1.08958458261747,10
"20181",1.20244810884088,0.974153758452549,1.08289733698691,10
"20191",1.20447075249961,0.973613399272892,1.08369619593163,10
"20201",1.21017843983141,0.975861675802283,1.08748305645514,10
"20211",1.21654764915299,0.977343669975302,1.09132882770651,10
"20221",1.21976828343512,0.973978846893659,1.09030101628376,10
"19702",1,1,1,15
"19712",1.0273785507299,1.01232442315685,1.01995050182232,15
"19722",1.04827819864951,1.02127530570902,1.03486568016313,15
"19732",1.06133906408885,1.02296145468135,1.04219628336946,15
"19742",1.07222127321293,1.02503641997342,1.04875479684337,15
"19752",1.08277988926132,1.028967524293,1.05602167003736,15
"19762",1.09020729140835,1.03044015713251,1.0602570671378,15
"19772",1.09408728145141,1.02784301112303,1.06091820383186,15
"19782",1.09755115124837,1.02521652762516,1.06117822554856,15
"19792",1.10491647480618,1.02622321138597,1.06551079098546,15
"19802",1.11461452750174,1.02983143514739,1.07211534361046,15
"19812",1.12173671380301,1.03237353176576,1.0768574390165,15
"19822",1.1248900000602,1.03163416528199,1.078078721744,15
"19832",1.12904472846595,1.03104028837921,1.07928336756531,15
"19842",1.13458432982175,1.03167853986755,1.08207674955809,15
"19852",1.14139501033733,1.03435831567123,1.08656198169168,15
"19862",1.14765805948586,1.03712837946725,1.09078278861725,15
"19872",1.15205412094435,1.03748269217332,1.09285304107505,15
"19882",1.15538278783076,1.03728489914589,1.0941220691066,15
"19892",1.1578088175549,1.03657243323225,1.09463248598868,15
"19902",1.161311981139,1.03555029878595,1.09589481405187,15
"19912",1.16137793772746,1.03167906911629,1.09411448389464,15
"19922",1.16095515195387,1.02610243173836,1.09107315886593,15
"19932",1.16721609323728,1.0260672393102,1.09391098233161,15
"19942",1.17509531057947,1.02784038932743,1.09841831253158,15
"19952",1.18225753105622,1.02810863303179,1.10218636947389,15
"19962",1.19042879299079,1.03045770905305,1.10714629927858,15
"19972",1.19341803528516,1.03051042497796,1.10856286903874,15
"19982",1.18972291433145,1.02406185009792,1.10304732481183,15
"19992",1.18138077349396,1.0128207134742,1.09316311129428,15
"20002",1.17590341193716,1.00485887392548,1.08631530208458,15
"20012",1.17345683517464,0.998261928383509,1.08132094148379,15
"20022",1.17245940586058,0.993114496864853,1.07801927531157,15
"20032",1.17306432235875,0.991583237164912,1.07756197057762,15
"20042",1.17962546592325,0.994824555689934,1.08199833773032,15
"20052",1.19125209424325,1.00258766773615,1.09206228787598,15
"20062",1.20301880125447,1.01138960811062,1.10172620842359,15
"20072",1.20790006546254,1.01331922923646,1.10509769661032,15
"20082",1.2068340046213,1.00972060237239,1.10233988035941,15
"20092",1.20382365088199,1.00435692844021,1.09769164914977,15
"20102",1.20248824887101,0.999188796332752,1.09447518445515,15
"20112",1.20236659638497,0.996583177213254,1.09315483375514,15
"20122",1.20445414166744,0.994013156908142,1.09301809285482,15
"20132",1.20760950569186,0.992927388216033,1.09356019867185,15
"20142",1.21164713989099,0.99380223560175,1.09562114620954,15
"20152",1.21616266603704,0.995348585146849,1.09861935847332,15
"20162",1.21732523297793,0.993973053853297,1.09823752052983,15
"20172",1.21269721723905,0.988736386884238,1.09363625419137,15
"20182",1.20492505039309,0.980231366520679,1.08488050584203,15
"20192",1.20550845984471,0.978594505866033,1.08366004910302,15
"20202",1.20955398354481,0.979122263265574,1.08521397389619,15
"20212",1.21369935537504,0.978892516404094,1.08706632033131,15
"20222",1.21322486624584,0.973255221216763,1.08412282557593,15
"19703",1,1,1,20
"19713",1.02671587175559,1.01228576729601,1.01957088977334,20
"19723",1.04815531953458,1.0221764053778,1.03530326466606,20
"19733",1.06247542465218,1.02521403310878,1.04403412298471,20
"19743",1.0751531620021,1.02899877832193,1.05212306864427,20
"19753",1.0862982076923,1.03356354085646,1.05997275002618,20
"19763",1.09486300774042,1.0361310948142,1.06525968948877,20
"19773",1.10086981861562,1.03545782691198,1.06785913315212,20
"19783",1.107672522397,1.03584201759297,1.07125548935114,20
"19793",1.11849817444198,1.03967790434114,1.07798674027935,20
"19803",1.13096287096325,1.04513098610297,1.08699586759847,20
"19813",1.14004006085208,1.0493925456709,1.09317091625118,20
"19823",1.14384288053237,1.04912116163794,1.09501187730982,20
"19833",1.14741582281724,1.04759110389969,1.09607890504608,20
"19843",1.15315026079476,1.04819482408807,1.09916238322472,20
"19853",1.16112605373777,1.05207076250378,1.10493585681532,20
"19863",1.1686172491569,1.05618636477267,1.11083514473716,20
"19873",1.174612385451,1.05875753718016,1.11492188335828,20
"19883",1.18034957738505,1.06113107160622,1.11868497450328,20
"19893",1.18594358192206,1.06376596041262,1.12238148584645,20
"19903",1.19312327760824,1.06706176501818,1.12725626582782,20
"19913",1.19727526393994,1.06689979136028,1.12870268964025,20
"19923",1.19857717773166,1.06271688116073,1.12715133436898,20
"19933",1.20567450875852,1.06309607317787,1.13090356313176,20
"19943",1.21421929769172,1.06468284804442,1.13571571746917,20
"19953",1.2216963123137,1.06572519325418,1.13957547670345,20
"19963",1.22838668154334,1.06664543522086,1.14341361975785,20
"19973",1.22891335061893,1.06429885459087,1.14286417124894,20
"19983",1.22334079256031,1.05588003725413,1.13565513768563,20
"19993",1.21394938613667,1.04429431469374,1.12497737188432,20
"20003",1.2068888495939,1.03503121188728,1.11694927977841,20
"20013",1.20680616740551,1.02908032989542,1.11333693203392,20
"20023",1.20965361867155,1.02809630067528,1.11423962879084,20
"20033",1.21510209385843,1.0296587943148,1.1171713047488,20
"20043",1.21954843468669,1.03034847244714,1.11937055956968,20
"20053",1.22604211326302,1.03306807049228,1.12318284073256,20
"20063",1.23039809008212,1.03378855272091,1.12585063460751,20
"20073",1.22978485649936,1.02974274234956,1.1235673501898,20
"20083",1.22368585081111,1.02121869889446,1.11624163075288,20
"20093",1.21658867017407,1.01178490429301,1.10769490961238,20
"20103",1.21218317632536,1.00433368437672,1.10171532756582,20
"20113",1.21078180706482,0.999911193622741,1.0986624330945,20
"20123",1.20990043500482,0.99633927896272,1.09650058143894,20
"20133",1.20805950460794,0.991828268786073,1.09354561048811,20
"20143",1.20790319580952,0.988504903235969,1.09153054703759,20
"20153",1.21038329412275,0.987003170827068,1.0916675248919,20
"20163",1.2099447836065,0.984622260824027,1.08994625375776,20
"20173",1.20662137196036,0.97981596630875,1.08549003898271,20
"20183",1.2025435179262,0.974608936521284,1.0805894271276,20
"20193",1.20301142448612,0.973208970900863,1.07969382346697,20
"20203",1.21102563823352,0.975923417939308,1.08503201338812,20
"20213",1.22511535524822,0.983779076842031,1.09548044501699,20
"20223",1.24040256707958,0.99077209575443,1.10747126854361,20
