"","CI_high","CI_low","LPI_final"
"1970",1,1,1
"1971",1.02904163468032,1.00426625179319,1.01612148009237
"1972",1.05291500562625,1.0152912121406,1.034064072001
"1973",1.06924265413523,1.01403196682772,1.04116083822069
"1974",1.06706331289554,0.999162966098767,1.03252251689616
"1975",1.07610849648154,1.00030282040463,1.03685556339979
"1976",1.07465650422335,0.993573079879846,1.03248159535089
"1977",1.05844468939959,0.970645153816499,1.01302107488987
"1978",1.04620877904157,0.956328517317219,0.999463048917919
"1979",1.04747826981528,0.952661444590955,0.997998997472965
"1980",1.07643551867148,0.97231574848891,1.02189446870038
"1981",1.07301092772184,0.965949219000893,1.01710478644572
"1982",1.07343358787737,0.962819896899188,1.01564104238135
"1983",1.07304761727173,0.955433990096585,1.01141286605288
"1984",1.08588252829109,0.964484778577345,1.0221261794221
"1985",1.09815570826636,0.970755454679865,1.03096803877768
"1986",1.08987652574686,0.961403861911437,1.02257487441672
"1987",1.08819796502051,0.955600883915142,1.01916478247102
"1988",1.0875112658487,0.952745905199014,1.01739940191314
"1989",1.10350041278468,0.961754315763219,1.02991764849834
"1990",1.09800721107892,0.954529419167233,1.0233055279491
"1991",1.12353927077603,0.974842116381086,1.04663684869956
"1992",1.11092132907146,0.959266809536856,1.03198985758796
"1993",1.14483392737569,0.983469260525613,1.06082958337975
"1994",1.12595355293938,0.963583257973109,1.04042647043563
"1995",1.13381272180037,0.963758525548636,1.04425487826051
"1996",1.13614895790545,0.964770414598925,1.04541052945483
"1997",1.14166562050959,0.967739651419277,1.04966607485309
"1998",1.13911838051145,0.960573716519922,1.04469816417276
"1999",1.12745192662827,0.947847315045175,1.03299867837391
"2000",1.13307043564113,0.948198125901915,1.03490527221275
"2001",1.12502878025506,0.938758773784126,1.0264106958625
"2002",1.10560490766061,0.919512081612302,1.00644039215649
"2003",1.12190219781918,0.926815354364318,1.01838955973504
"2004",1.15833384008616,0.954440199106118,1.05060607276236
"2005",1.15399437471949,0.947255001107019,1.0452884654513
"2006",1.16601973141212,0.953866997300829,1.05434382387817
"2007",1.13857283244882,0.926840698268871,1.02659158667194
"2008",1.15812027516319,0.939145485858524,1.04223198168145
"2009",1.1450596665858,0.923685740549479,1.02817043710434
"2010",1.14972519114242,0.925261473440655,1.03082835343119
"2011",1.17099297955286,0.939691410411271,1.04778990084204
"2012",1.18940568008719,0.952922063370113,1.06340539157135
"2013",1.17767667162333,0.940533189976253,1.05093620311975
"2014",1.1380130186217,0.906881993026456,1.0152875533615
"2015",1.1604969840137,0.921215278674165,1.03379991296201
"2016",1.1913029342673,0.943468103528607,1.05938093035873
"2017",1.17214179992882,0.925589482072266,1.04068760395856
"2018",1.16630885015755,0.922151014451133,1.03676160486835
"2019",1.18071844955848,0.926098335022257,1.04383896450488
"2020",1.18214881554201,0.926796769355818,1.04561709632381
"2021",1.20027423754128,0.936156361679397,1.05842328434377
"2022",1.20564333374012,0.933349295460495,1.06051109681715
