year,CI_high,CI_low,LPI_final,type
2000,1.03612081738222,0.881081430734057,0.955106356576805,linear
2001,1.03503581625366,0.877023829503506,0.951831064413902,linear
2002,1.03498095190661,0.873344510984367,0.949290808354786,linear
2003,1.03539857851533,0.869966982423781,0.947878450535172,linear
2004,1.03675317312274,0.869107640662235,0.947813542318012,linear
2005,1.04053153718623,0.870601998906656,0.949588199798299,linear
2006,1.04024221844222,0.868030689904919,0.948306741304291,linear
2007,1.04133353699919,0.866751122771023,0.948108508968305,linear
2008,1.03621017161839,0.860387552958102,0.942752211200289,linear
2009,1.02971653564707,0.851934151099687,0.935710206989275,linear
2010,1.02326961274303,0.844909404296754,0.928786285460708,linear
2011,1.01833552752776,0.838080253795211,0.92256218326432,linear
2012,1.01046199538218,0.830170408716653,0.91527448105783,linear
2013,1.00793232960259,0.826559787686691,0.912042600685779,linear
2014,1.00877516094777,0.823767797712384,0.911151893643842,linear
2015,1.01448599066881,0.826046238651422,0.914747893986143,linear
2016,1.01908868904512,0.827926918506988,0.917935060326489,linear
2017,1.01577445058543,0.823068415748738,0.913590731535856,linear
2018,1.00823273788316,0.814793850408602,0.905758692674327,linear
2019,1.00877079189282,0.813366246671743,0.905111888698636,linear
2020,1.01203832957897,0.812661946412,0.90654369856612,linear
2021,1.01633112882209,0.813653504523716,0.908750052396068,linear
2022,1.01294111324564,0.808212254026581,0.904732000407225,linear
1970,1,1,1,log_linear
1971,1.02583661592577,1.00142939531259,1.01312575859302,log_linear
1972,1.04494328280764,1.0070664240695,1.02602469432952,log_linear
1973,1.06361183773716,1.00737648979461,1.0351877054964,log_linear
1974,1.06179751634145,0.992968305510566,1.0267341504588,log_linear
1975,1.06822803010273,0.993836485065836,1.03017909998793,log_linear
1976,1.0614693480834,0.981521544359033,1.02062416378056,log_linear
1977,1.04751033376438,0.961533720425926,1.00372977401545,log_linear
1978,1.03115033891269,0.943714620593304,0.98663810738278,log_linear
1979,1.03037028030733,0.939328140658953,0.983825224564356,log_linear
1980,1.05593541944063,0.954198907249003,1.00393140229724,log_linear
1981,1.05421314720682,0.950631663272195,1.00097160181387,log_linear
1982,1.05008246049862,0.944220905325796,0.995389081721794,log_linear
1983,1.04520898639335,0.93355536544677,0.987286006400656,log_linear
1984,1.05893157171766,0.943107148031519,0.999232703303572,log_linear
1985,1.0678540073055,0.946254650310756,1.00522851237353,log_linear
1986,1.06353877686669,0.939158800613984,0.999103858558291,log_linear
1987,1.05835485620221,0.930269978156725,0.992838861819433,log_linear
1988,1.0521519815463,0.922948337446733,0.985688707974361,log_linear
1989,1.06390447037991,0.928133074440907,0.993004882345809,log_linear
1990,1.06027667287693,0.925097676456049,0.989783654118108,log_linear
1991,1.08047770819919,0.938218215524702,1.00714391940781,log_linear
1992,1.06847155366966,0.924224244144046,0.993053839364549,log_linear
1993,1.10082310893953,0.946789729946597,1.02095432797653,log_linear
1994,1.08624037398983,0.930737038123861,1.00623339401288,log_linear
1995,1.09651612933247,0.929782837732995,1.00953587865807,log_linear
1996,1.09115876794807,0.925984800601059,1.00491735153302,log_linear
1997,1.09676933238015,0.930044051228223,1.01033192200227,log_linear
1998,1.09249851951345,0.922717198175922,1.00382935198342,log_linear
1999,1.07692077388009,0.906448048872935,0.987347488297379,log_linear
2000,1.06207407598171,0.892919756543639,0.973462748932792,log_linear
2001,1.0626391716825,0.891242716003329,0.973070317856985,log_linear
2002,1.04684496739302,0.874818631843434,0.957557324188198,log_linear
2003,1.07155442428372,0.88966346551426,0.976024113779071,log_linear
2004,1.11081323495317,0.917146937177057,1.00974560360802,log_linear
2005,1.11028151759521,0.913413258295928,1.00621055119925,log_linear
2006,1.10653288439546,0.907961927930929,1.0012700540523,log_linear
2007,1.0824469684249,0.88695426099715,0.979302913650154,log_linear
2008,1.08857312443534,0.888767961128422,0.983478617498495,log_linear
2009,1.07761619761298,0.875752104581416,0.971209012153827,log_linear
2010,1.07313994924173,0.869101619866743,0.9662071510887,log_linear
2011,1.08273638483357,0.874152226180816,0.97355908443187,log_linear
2012,1.08702599023883,0.877383933759256,0.977354186442529,log_linear
2013,1.0754326830585,0.866082565605406,0.965103358769639,log_linear
2014,1.03228067552543,0.82891526144601,0.924760713315991,log_linear
2015,1.0462904327019,0.83954202222821706,0.93696210353328,log_linear
2016,1.06774861541414,0.855394096843918,0.955075311626073,log_linear
2017,1.06043005526556,0.848135171655675,0.947140860255783,log_linear
2018,1.06158163066222,0.845889836443526,0.947326892273547,log_linear
2019,1.07008308045892,0.849448201501575,0.953371046972697,log_linear
2020,1.06569129277611,0.841731874984226,0.947461862241062,log_linear
2021,1.07343510708896,0.843313515344019,0.951468733562924,log_linear
2022,1.06976667082263,0.836221451203228,0.945601783706608,log_linear
