"year","Lower_CI","Upper_CI","Index"
1970,1,1,1
1971,1.00030334340359,1.01768805036829,1.00888784525276
1972,0.999198271672971,1.03150161001721,1.01493976307082
1973,0.993579290112894,1.03981242721558,1.01578842604301
1974,0.984740244639897,1.0424949580877,1.01241683486194
1975,0.979175827670984,1.04617330860427,1.0110805131137
1976,0.973411139109866,1.04653567519715,1.00821612274597
1977,0.966246596570535,1.04617445146957,1.00424274797307
1978,0.963383763460963,1.04772864682428,1.00406769078146
1979,0.965008588588844,1.05269361428379,1.00745632194196
1980,0.969717264570947,1.06098506817361,1.01397168755729
1981,0.972766081781415,1.06880055246601,1.01928558885826
1982,0.969291228669282,1.07088588847073,1.01864817752673
1983,0.96598023918682,1.07330220906925,1.01804113083699
1984,0.965185384064306,1.07848463360782,1.02030816251368
1985,0.966887734127816,1.0841318213554,1.02362034149713
1986,0.965377392870059,1.08533103330191,1.02354744555085
1987,0.960719583696218,1.08342688110705,1.02004087240003
1988,0.957867744582541,1.08332674152869,1.01846123120709
1989,0.953333186557217,1.08205502169559,1.01572799401615
1990,0.949868313668285,1.08200201257118,1.01380139385394
1991,0.943265200861268,1.07909946998005,1.00889612399761
1992,0.936650429431606,1.07712785584438,1.0044381052363
1993,0.939132190306645,1.08302565754388,1.00869895126007
1994,0.945273878071575,1.0954479551807,1.01787505865326
1995,0.947466118237275,1.10200305710007,1.02192634648503
1996,0.951817141582464,1.10952622431332,1.02849721692602
1997,0.951499405549649,1.11170457398373,1.02909847607986
1998,0.942438775276663,1.10476402481186,1.02028109015221
1999,0.930488464128412,1.09573172571664,1.0095199217822
2000,0.922175721645022,1.08955364818422,1.00242086268841
2001,0.914640522360249,1.08718159591519,0.997207824089998
2002,0.90838835527334,1.08404410024968,0.992243074440267
2003,0.903051152569032,1.08128473022903,0.987994117703974
2004,0.901100929921517,1.08201421103804,0.987036543162223
2005,0.90372075103255,1.08756488987845,0.991289128272758
2006,0.904660818780782,1.09050290292768,0.993105589135151
2007,0.905738469873298,1.09543683646969,0.995975541311996
2008,0.902130520563731,1.09582109422788,0.993754431245748
2009,0.89725551261575,1.09304269873481,0.98977929852544
2010,0.89317757900524,1.09150560628697,0.986877543893676
2011,0.8894849804107,1.09203608949887,0.985461262671353
2012,0.886687586148412,1.09299160359222,0.983793230162387
2013,0.88636542229261,1.09597957448658,0.985016115963267
2014,0.888054099200334,1.10187163661222,0.988315078564094
2015,0.891858442616118,1.10929160490035,0.994301026749056
2016,0.895114024453212,1.11593095523809,0.999125481521323
2017,0.891730264671197,1.11428704591332,0.99645117467561
2018,0.886986028161505,1.11058396485982,0.991799754235181
2019,0.889380966173588,1.11537997753975,0.995372599333085
2020,0.894332128738393,1.12401308530131,1.00190600554891
2021,0.898295776715865,1.13390574667884,1.00896903865799
2022,0.89775256942263,1.14017315628614,1.01151019163626
