"year","Lower_CI","Upper_CI","Index"
1970,1,1,1
1971,1.00205453942476,1.02427370673412,1.00888784525276
1972,1.00315326738557,1.04170380849992,1.01465423901151
1973,0.997786729115098,1.05055075743402,1.01550266323682
1974,0.989551667727451,1.05397659499027,1.01213202055578
1975,0.984086113607086,1.05729165701712,1.01076172918551
1976,0.978516250644097,1.05693541130538,1.00789824193243
1977,0.971740011401654,1.05563015241114,1.00392611992624
1978,0.968456480984716,1.05745329363953,1.00386503932322
1979,0.969015518876458,1.06294256258821,1.00725298655468
1980,0.972810906924373,1.07166431331342,1.01376703717068
1981,0.974761172975135,1.07848576794746,1.01907986596444
1982,0.970736311871251,1.07765576470435,1.01844258328194
1983,0.967129650776457,1.07764486738847,1.01778175280059
1984,0.967658580859827,1.08192122931523,1.02004820687957
1985,0.969092903110398,1.08673538739131,1.02335954198112
1986,0.966977720932138,1.08773967756089,1.02328666460738
1987,0.961994101935757,1.08422621140601,1.01978098486649
1988,0.957152837166711,1.08195806574708,1.01820174613689
1989,0.950381001337171,1.07943157195614,1.0154692053242
1990,0.944156055028953,1.07741977002908,1.01354309602405
1991,0.935486711021503,1.0714269848078,1.00863907593968
1992,0.926728635809665,1.06650538104502,1.00396660155364
1993,0.926540218886758,1.06983498349896,1.0079400111377
1994,0.933539158461759,1.08131161204249,1.0171092144729
1995,0.934394297465831,1.08766342477736,1.02115745413565
1996,0.93799466440702,1.09691460639075,1.02772338068609
1997,0.937652862951582,1.09954853317246,1.02832418745551
1998,0.928099881919735,1.09097286338375,1.0195134356856
1999,0.9163797401288,1.08077774071382,1.00876036396567
2000,0.906579473387473,1.07275121611672,1.00166664616896
2001,0.898295229568035,1.06753746422693,0.996458990556526
2002,0.89053058707597,1.06231986013593,0.991497969087555
2003,0.884375410733896,1.05793489124337,0.98725220302146
2004,0.883142386841266,1.05753832849852,0.986295347551412
2005,0.887104654499806,1.06629006917596,0.990544739267092
2006,0.888630188457163,1.07100489238265,0.992359836094052
2007,0.890464679226349,1.07575653758196,0.995227633136955
2008,0.88663784112097,1.07463741109483,0.993008190969472
2009,0.881778071139829,1.07186668667309,0.989173072573684
2010,0.878666007340509,1.07028058980323,0.986457444074471
2011,0.875577322711851,1.06870617095004,0.985041765743043
2012,0.872002842633156,1.06773906071356,0.983374443291935
2013,0.871177227113934,1.06983176594512,0.984570279793979
2014,0.872214531187287,1.07501308767597,0.987712689460598
2015,0.877170720788676,1.08339666144428,0.993694989143135
2016,0.87999459186841,1.09063809964491,0.998516503356214
2017,0.876964988842465,1.08876598069574,0.995843826530459
2018,0.873146065747518,1.08675332378728,0.991195241182856
2019,0.877308207684758,1.09430901249266,0.994765908591679
2020,0.88456573124683,1.10431703413294,1.00129533262328
2021,0.892230080062401,1.11761921450058,1.00835406073462
2022,0.896295831145045,1.12670670519212,1.01105446837562
