year,CI_low,CI_high,LPI_final,type
1970,1,1,1,pop
1971,1.00205453942476,1.02427370673412,1.00888784525276,pop
1972,1.00315326738557,1.04170380849992,1.01465423901151,pop
1973,0.997786729115098,1.05055075743402,1.01550266323682,pop
1974,0.989551667727451,1.05397659499027,1.01213202055578,pop
1975,0.984086113607086,1.05729165701712,1.01076172918551,pop
1976,0.978516250644097,1.05693541130538,1.00789824193243,pop
1977,0.971740011401654,1.05563015241114,1.00392611992624,pop
1978,0.968456480984716,1.05745329363953,1.00386503932322,pop
1979,0.969015518876458,1.06294256258821,1.00725298655468,pop
1980,0.972810906924373,1.07166431331342,1.01376703717068,pop
1981,0.974761172975135,1.07848576794746,1.01907986596444,pop
1982,0.970736311871251,1.07765576470435,1.01844258328194,pop
1983,0.967129650776457,1.07764486738847,1.01778175280059,pop
1984,0.967658580859827,1.08192122931523,1.02004820687957,pop
1985,0.969092903110398,1.08673538739131,1.02335954198112,pop
1986,0.966977720932138,1.08773967756089,1.02328666460738,pop
1987,0.961994101935757,1.08422621140601,1.01978098486649,pop
1988,0.957152837166711,1.08195806574708,1.01820174613689,pop
1989,0.950381001337171,1.07943157195614,1.0154692053242,pop
1990,0.944156055028953,1.07741977002908,1.01354309602405,pop
1991,0.935486711021503,1.0714269848078,1.00863907593968,pop
1992,0.926728635809665,1.06650538104502,1.00396660155364,pop
1993,0.926540218886758,1.06983498349896,1.0079400111377,pop
1994,0.93353915846175906,1.08131161204249,1.0171092144729,pop
1995,0.934394297465831,1.08766342477736,1.02115745413565,pop
1996,0.93799466440702,1.09691460639075,1.02772338068609,pop
1997,0.937652862951582,1.09954853317246,1.02832418745551,pop
1998,0.928099881919735,1.09097286338375,1.0195134356856,pop
1999,0.9163797401288,1.08077774071382,1.00876036396567,pop
2000,0.906579473387473,1.07275121611672,1.00166664616896,pop
2001,0.898295229568035,1.06753746422693,0.996458990556526,pop
2002,0.89053058707597,1.06231986013593,0.991497969087555,pop
2003,0.884375410733896,1.05793489124337,0.98725220302146,pop
2004,0.883142386841266,1.05753832849852,0.986295347551412,pop
2005,0.887104654499806,1.06629006917596,0.990544739267092,pop
2006,0.888630188457163,1.07100489238265,0.992359836094052,pop
2007,0.890464679226349,1.07575653758196,0.995227633136955,pop
2008,0.88663784112097,1.07463741109483,0.993008190969472,pop
2009,0.881778071139829,1.07186668667309,0.989173072573684,pop
2010,0.878666007340509,1.07028058980323,0.986457444074471,pop
2011,0.875577322711851,1.06870617095004,0.985041765743043,pop
2012,0.872002842633156,1.06773906071356,0.983374443291935,pop
2013,0.871177227113934,1.06983176594512,0.984570279793979,pop
2014,0.872214531187287,1.07501308767597,0.987712689460598,pop
2015,0.877170720788676,1.08339666144428,0.993694989143135,pop
2016,0.87999459186841,1.09063809964491,0.998516503356214,pop
2017,0.876964988842465,1.08876598069574,0.995843826530459,pop
2018,0.873146065747518,1.08675332378728,0.991195241182856,pop
2019,0.877308207684758,1.09430901249266,0.994765908591679,pop
2020,0.88456573124683,1.10431703413294,1.00129533262328,pop
2021,0.892230080062401,1.11761921450058,1.00835406073462,pop
2022,0.896295831145045,1.12670670519212,1.01105446837562,pop
1970,1,1,1,species
1971,1.00030334340359,1.01768805036829,1.00888784525276,species
1972,0.999198271672971,1.03150161001721,1.01493976307082,species
1973,0.993579290112894,1.03981242721558,1.01578842604301,species
1974,0.984740244639897,1.0424949580877,1.01241683486194,species
1975,0.979175827670984,1.04617330860427,1.0110805131137,species
1976,0.973411139109866,1.04653567519715,1.00821612274597,species
1977,0.966246596570535,1.04617445146957,1.00424274797307,species
1978,0.963383763460963,1.04772864682428,1.00406769078146,species
1979,0.965008588588844,1.05269361428379,1.00745632194196,species
1980,0.969717264570947,1.06098506817361,1.01397168755729,species
1981,0.972766081781415,1.06880055246601,1.01928558885826,species
1982,0.969291228669282,1.07088588847073,1.01864817752673,species
1983,0.96598023918682,1.07330220906925,1.01804113083699,species
1984,0.965185384064306,1.07848463360782,1.02030816251368,species
1985,0.966887734127816,1.0841318213554,1.02362034149713,species
1986,0.965377392870059,1.08533103330191,1.02354744555085,species
1987,0.960719583696218,1.08342688110705,1.02004087240003,species
1988,0.957867744582541,1.08332674152869,1.01846123120709,species
1989,0.953333186557217,1.08205502169559,1.01572799401615,species
1990,0.949868313668285,1.08200201257118,1.01380139385394,species
1991,0.943265200861268,1.07909946998005,1.00889612399761,species
1992,0.936650429431606,1.07712785584438,1.0044381052363,species
1993,0.939132190306645,1.08302565754388,1.00869895126007,species
1994,0.945273878071575,1.0954479551807,1.01787505865326,species
1995,0.947466118237275,1.10200305710007,1.02192634648503,species
1996,0.951817141582464,1.10952622431332,1.02849721692602,species
1997,0.951499405549649,1.11170457398373,1.02909847607986,species
1998,0.942438775276663,1.10476402481186,1.02028109015221,species
1999,0.930488464128412,1.09573172571664,1.0095199217822,species
2000,0.922175721645022,1.08955364818422,1.00242086268841,species
2001,0.914640522360249,1.08718159591519,0.997207824089998,species
2002,0.90838835527334,1.08404410024968,0.992243074440267,species
2003,0.903051152569032,1.08128473022903,0.987994117703974,species
2004,0.901100929921517,1.08201421103804,0.987036543162223,species
2005,0.90372075103255,1.08756488987845,0.991289128272758,species
2006,0.904660818780782,1.09050290292768,0.993105589135151,species
2007,0.905738469873298,1.09543683646969,0.995975541311996,species
2008,0.902130520563731,1.09582109422788,0.993754431245748,species
2009,0.89725551261575,1.09304269873481,0.98977929852544,species
2010,0.89317757900524,1.09150560628697,0.986877543893676,species
2011,0.8894849804107,1.09203608949887,0.985461262671353,species
2012,0.886687586148412,1.09299160359222,0.983793230162387,species
2013,0.88636542229261,1.09597957448658,0.985016115963267,species
2014,0.888054099200334,1.10187163661222,0.988315078564094,species
2015,0.891858442616118,1.10929160490035,0.994301026749056,species
2016,0.895114024453212,1.11593095523809,0.999125481521323,species
2017,0.891730264671197,1.11428704591332,0.99645117467561,species
2018,0.886986028161505,1.11058396485982,0.991799754235181,species
2019,0.889380966173588,1.11537997753975,0.995372599333085,species
2020,0.894332128738393,1.12401308530131,1.00190600554891,species
2021,0.898295776715865,1.13390574667884,1.00896903865799,species
2022,0.89775256942263,1.14017315628614,1.01151019163626,species
1970,1,1,1,year
1971,0.997610142944006,1.0206186081715,1.00888784525276,year
1972,0.999555775689028,1.03094088996492,1.01493976307082,year
1973,0.997820391304868,1.03510200894535,1.01578842604301,year
1974,0.991745422593732,1.03401201262228,1.01241683486194,year
1975,0.988857506424096,1.03473792536709,1.0110805131137,year
1976,0.984312762309632,1.03352325461765,1.00821612274597,year
1977,0.978332833324551,1.03153559584209,1.00424274797307,year
1978,0.976511694539475,1.03239922497405,1.00406769078146,year
1979,0.979247555746732,1.03688566740057,1.00745632194196,year
1980,0.985103831606401,1.04489490746322,1.01397168755729,year
1981,0.989335638929926,1.05069056954863,1.01928558885826,year
1982,0.987559336749518,1.05168596615473,1.01864817752673,year
1983,0.985627118580286,1.05248201496223,1.01804113083699,year
1984,0.986712710013292,1.05527879186476,1.02030816251368,year
1985,0.989456614638025,1.05933577583161,1.02362034149713,year
1986,0.988961685364075,1.06012639210875,1.02354744555085,year
1987,0.98464846200969,1.05761245621193,1.02004087240003,year
1988,0.982189902940205,1.05720299666998,1.01846123120709,year
1989,0.9788893432062,1.05487777851535,1.01572799401615,year
1990,0.975963531928498,1.0542046912735,1.01380139385394,year
1991,0.970470415603214,1.0501786631413501,1.00889612399761,year
1992,0.965054204032006,1.04614205158563,1.0044381052363,year
1993,0.967921435927447,1.05183806181048,1.00869895126007,year
1994,0.975548889917649,1.06308194151813,1.01787505865326,year
1995,0.978181914251055,1.06812362255669,1.02192634648503,year
1996,0.983486561703945,1.0762701444028,1.02849721692602,year
1997,0.982810314074627,1.07820928757481,1.02909847607986,year
1998,0.972962902584345,1.070946576909,1.02028109015221,year
1999,0.961929620687586,1.06005220735584,1.00951992178221,year
2000,0.95521104410576,1.05296285429531,1.00242086268841,year
2001,0.949172937199107,1.04833644801936,0.997207824089999,year
2002,0.94346787676346,1.04429554256975,0.992243074440268,year
2003,0.938866241355054,1.04067157099898,0.987994117703974,year
2004,0.936847318064468,1.04057057897163,0.987036543162224,year
2005,0.940279509833166,1.04474348817885,0.991289128272759,year
2006,0.940627661164487,1.04695906460529,0.993105589135152,year
2007,0.943605662440944,1.05062350467568,0.995975541311997,year
2008,0.94047937176757,1.04934169559521,0.993754431245749,year
2009,0.936119394504838,1.04561352807858,0.98977929852544,year
2010,0.932909513761379,1.04281071259324,0.986877543893677,year
2011,0.931144501171322,1.0420228223112,0.985461262671354,year
2012,0.929264303397054,1.04068132749833,0.983793230162387,year
2013,0.929896669641325,1.04222343197503,0.985016115963268,year
2014,0.933369719157692,1.04633534451962,0.988315078564095,year
2015,0.938426279923442,1.05274037381126,0.994301026749057,year
2016,0.943062108733735,1.0589219364123,0.999125481521324,year
2017,0.940485352648638,1.05676006476732,0.996451174675611,year
2018,0.934830656470188,1.05265176473345,0.991799754235182,year
2019,0.937842158957626,1.05663426697608,0.995372599333086,year
2020,0.942921312614809,1.06415164847122,1.00190600554891,year
2021,0.949068617985688,1.07267017031975,1.00896903865799,year
2022,0.950641677054722,1.07711454852835,1.01151019163626,year
