"","LPI_final","CI_low","CI_high","zero_option","year"
"1",1,1,1,"onepercent_mean","1970"
"2",1.0258580612436,1.00835806378031,1.04162931258211,"onepercent_mean","1971"
"3",1.04658010031599,1.02043922810858,1.06487620400141,"onepercent_mean","1972"
"4",1.05656956188341,1.01572088401467,1.08791159243611,"onepercent_mean","1973"
"5",1.05573645888912,1.00685141500761,1.09327762122685,"onepercent_mean","1974"
"6",1.06273425435756,1.01940892930198,1.09838197035071,"onepercent_mean","1975"
"7",1.06132662058257,1.01623392533526,1.10144920714307,"onepercent_mean","1976"
"8",1.05436943207012,1.00828693128658,1.11039011324428,"onepercent_mean","1977"
"9",1.05117525059047,1.0005160944163,1.11431388329171,"onepercent_mean","1978"
"10",1.0590614972003,0.999979240738725,1.12048937936228,"onepercent_mean","1979"
"11",1.0828165639353,1.0131879655263,1.14861389910192,"onepercent_mean","1980"
"12",1.08529086293353,1.01427674608365,1.15431563447448,"onepercent_mean","1981"
"13",1.08371849790979,1.01707737604558,1.14986318158653,"onepercent_mean","1982"
"14",1.07815467556712,1.01130941616417,1.14786371102867,"onepercent_mean","1983"
"15",1.10193103245364,1.04240935400761,1.17401160051857,"onepercent_mean","1984"
"16",1.11333886591671,1.05515022873783,1.17998460197987,"onepercent_mean","1985"
"17",1.11121073291024,1.05061454139676,1.18133166398243,"onepercent_mean","1986"
"18",1.10274159728852,1.04341649056096,1.17697643133281,"onepercent_mean","1987"
"19",1.11049295595651,1.04616425768707,1.1836097182772,"onepercent_mean","1988"
"20",1.14198895064301,1.07406257811216,1.22632172711552,"onepercent_mean","1989"
"21",1.13777254680222,1.06960461199639,1.23392323988432,"onepercent_mean","1990"
"22",1.15535871483968,1.07933896809359,1.24185730870359,"onepercent_mean","1991"
"23",1.13691447766594,1.06017231726737,1.22339669179878,"onepercent_mean","1992"
"24",1.16479835372263,1.07677778045041,1.24461976001664,"onepercent_mean","1993"
"25",1.14195807515587,1.04515734485118,1.23925568804747,"onepercent_mean","1994"
"26",1.14678263370612,1.04452483028377,1.24581895416687,"onepercent_mean","1995"
"27",1.1335785796034,1.03215201564678,1.24301099829138,"onepercent_mean","1996"
"28",1.13517746113425,1.03070248415977,1.2356308641048,"onepercent_mean","1997"
"29",1.12733480612268,1.0217248122544,1.25221480166551,"onepercent_mean","1998"
"30",1.11065566402687,1.00623979948561,1.22657361419009,"onepercent_mean","1999"
"31",1.1065630377361,0.999971195654475,1.22292348372223,"onepercent_mean","2000"
"32",1.09731303968661,0.98076741329785,1.20139380937802,"onepercent_mean","2001"
"33",1.06805952606377,0.949766721543584,1.18397926051596,"onepercent_mean","2002"
"34",1.0789306759781,0.974083190897748,1.1979258688858,"onepercent_mean","2003"
"35",1.12574948256772,1.01720869200422,1.25665564751308,"onepercent_mean","2004"
"36",1.11854734666237,1.00127412779351,1.24885520117439,"onepercent_mean","2005"
"37",1.12882220148092,1.01031838898129,1.27064767387954,"onepercent_mean","2006"
"38",1.10180647783584,0.982990632459901,1.24976555054465,"onepercent_mean","2007"
"39",1.10588559398046,0.992000916603588,1.2572005293133,"onepercent_mean","2008"
"40",1.08755751809286,0.973736387705591,1.23546370922299,"onepercent_mean","2009"
"41",1.09919389792996,0.980166141536895,1.25132095293925,"onepercent_mean","2010"
"42",1.11557636661185,0.987613322884036,1.26342049233433,"onepercent_mean","2011"
"43",1.11984241669163,0.988198295490232,1.27164794236996,"onepercent_mean","2012"
"44",1.09280329795159,0.965654835563989,1.23059763196828,"onepercent_mean","2013"
"45",1.05736203507035,0.928642682814392,1.19939085729218,"onepercent_mean","2014"
"46",1.06477592752939,0.935191253602279,1.19217645564038,"onepercent_mean","2015"
"47",1.07593676494694,0.94814917522406,1.19821180952769,"onepercent_mean","2016"
"48",1.07196223365203,0.941233539617022,1.21810121754271,"onepercent_mean","2017"
"49",1.0864906470334,0.955818192861801,1.23069768519726,"onepercent_mean","2018"
"50",1,1,1,"min_value","1970"
"51",1.02430004263227,1.00917891163192,1.0388364176176,"min_value","1971"
"52",1.04626833184818,1.02635972658299,1.0676871199316,"min_value","1972"
"53",1.06079109277352,1.02995893329673,1.09073763501802,"min_value","1973"
"54",1.05899411014542,1.02441114443847,1.09183732705088,"min_value","1974"
"55",1.0705533608786,1.03430586945772,1.11442635134194,"min_value","1975"
"56",1.06945145768602,1.03150112582756,1.11263714136604,"min_value","1976"
"57",1.06133337047966,1.0129070445563,1.11431700366673,"min_value","1977"
"58",1.05508552832182,1.01125514603509,1.10613428128866,"min_value","1978"
"59",1.0608263564967,1.00876902689082,1.1149357328801,"min_value","1979"
"60",1.08377051423296,1.02891882939016,1.13927647602043,"min_value","1980"
"61",1.08663951010185,1.03133244597679,1.14834585976262,"min_value","1981"
"62",1.08571098931337,1.02042599625561,1.14770124073833,"min_value","1982"
"63",1.07997833453671,1.00974115846312,1.14870471254177,"min_value","1983"
"64",1.10374661116867,1.0280939474752,1.17238328988869,"min_value","1984"
"65",1.11449988978351,1.03655315385965,1.18856249472706,"min_value","1985"
"66",1.11093838672923,1.04160752792785,1.1880912937554,"min_value","1986"
"67",1.10162460738139,1.03162806777919,1.18379360310611,"min_value","1987"
"68",1.10264962312288,1.0426922685666,1.18687221563337,"min_value","1988"
"69",1.1255795979284,1.05643520517239,1.22140090272668,"min_value","1989"
"70",1.12179375750286,1.05064285298092,1.21187140468289,"min_value","1990"
"71",1.13955831939298,1.06887626975113,1.2362622015544,"min_value","1991"
"72",1.12232560764029,1.04670142030357,1.22727430737845,"min_value","1992"
"73",1.14990689082841,1.07006612872072,1.25526893086283,"min_value","1993"
"74",1.13036638686252,1.03858194975233,1.24313188808878,"min_value","1994"
"75",1.13693566936031,1.03749312967033,1.26222214513647,"min_value","1995"
"76",1.12710087269049,1.02976352876995,1.2561173216764,"min_value","1996"
"77",1.12751674476463,1.0303949527402,1.25954957752408,"min_value","1997"
"78",1.11420695959445,1.01412192181057,1.25346705225352,"min_value","1998"
"79",1.09828361309253,0.995744475111432,1.2360418594179,"min_value","1999"
"80",1.09440125315815,0.986326881391812,1.23478298104471,"min_value","2000"
"81",1.08683883449701,0.979773655393716,1.23215232610904,"min_value","2001"
